ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
EPI,1028830658,2924-03097706-3A694824,2026-06-05T01:14:14.000Z,Change of Director's Interest Notice PB,198KB,false,EPI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""EPI""}]","[{""symbol"": ""EPI"", ""xid"": ""1028799574"", ""ASXSecurityType"": 1, ""displayName"": ""EPIMINDER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000432239"", ""xidEntity"": 1028830658, ""sector"": ""Health Care"", ""industryGroup"": ""Health Care Equipment & Services"", ""industry"": ""Health Care Equipment & Supplies"", ""subIndustry"": ""Health Care Equipment""}]","[""EPI"", """"]"
EPI,1028830658,2924-03095603-3A694369,2026-05-31T22:33:41.000Z,DETECT Study reaches 25th enrolment as momentum builds,104KB,true,EPI,,"[""Progress Report""]","[{""symbolDisplay"": ""EPI""}]","[{""symbol"": ""EPI"", ""xid"": ""1028799574"", ""ASXSecurityType"": 1, ""displayName"": ""EPIMINDER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000432239"", ""xidEntity"": 1028830658, ""sector"": ""Health Care"", ""industryGroup"": ""Health Care Equipment & Services"", ""industry"": ""Health Care Equipment & Supplies"", ""subIndustry"": ""Health Care Equipment""}]","[""EPI"", """"]"
EPI,1028830658,2924-03095328-3A694319,2026-05-29T06:01:53.000Z,Change of Auditor,99KB,false,EPI,,"[""Details of Auditor Appointment/Resignation""]","[{""symbolDisplay"": ""EPI""}]","[{""symbol"": ""EPI"", ""xid"": ""1028799574"", ""ASXSecurityType"": 1, ""displayName"": ""EPIMINDER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000432239"", ""xidEntity"": 1028830658, ""sector"": ""Health Care"", ""industryGroup"": ""Health Care Equipment & Services"", ""industry"": ""Health Care Equipment & Supplies"", ""subIndustry"": ""Health Care Equipment""}]","[""EPI"", """"]"
EPI,1028830658,2924-03090954-3A693473,2026-05-17T23:30:17.000Z,Change of Director's Interest Notice DO,237KB,false,EPI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""EPI""}]","[{""symbol"": ""EPI"", ""xid"": ""1028799574"", ""ASXSecurityType"": 1, ""displayName"": ""EPIMINDER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000432239"", ""xidEntity"": 1028830658, ""sector"": ""Health Care"", ""industryGroup"": ""Health Care Equipment & Services"", ""industry"": ""Health Care Equipment & Supplies"", ""subIndustry"": ""Health Care Equipment""}]","[""EPI"", """"]"
EPI,1028830658,2924-03090952-3A693472,2026-05-17T23:29:57.000Z,Change of Director's Interest Notice PO,218KB,false,EPI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""EPI""}]","[{""symbol"": ""EPI"", ""xid"": ""1028799574"", ""ASXSecurityType"": 1, ""displayName"": ""EPIMINDER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000432239"", ""xidEntity"": 1028830658, ""sector"": ""Health Care"", ""industryGroup"": ""Health Care Equipment & Services"", ""industry"": ""Health Care Equipment & Supplies"", ""subIndustry"": ""Health Care Equipment""}]","[""EPI"", """"]"
EPI,1028830658,2924-03090644-3A693405,2026-05-15T06:55:09.000Z,Change of Director's Interest Notice RK,233KB,false,EPI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""EPI""}]","[{""symbol"": ""EPI"", ""xid"": ""1028799574"", ""ASXSecurityType"": 1, ""displayName"": ""EPIMINDER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000432239"", ""xidEntity"": 1028830658, ""sector"": ""Health Care"", ""industryGroup"": ""Health Care Equipment & Services"", ""industry"": ""Health Care Equipment & Supplies"", ""subIndustry"": ""Health Care Equipment""}]","[""EPI"", """"]"
EPI,1028830658,2924-03090643-3A693404,2026-05-15T06:53:14.000Z,Change of Director's Interest Notice JS,218KB,false,EPI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""EPI""}]","[{""symbol"": ""EPI"", ""xid"": ""1028799574"", ""ASXSecurityType"": 1, ""displayName"": ""EPIMINDER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000432239"", ""xidEntity"": 1028830658, ""sector"": ""Health Care"", ""industryGroup"": ""Health Care Equipment & Services"", ""industry"": ""Health Care Equipment & Supplies"", ""subIndustry"": ""Health Care Equipment""}]","[""EPI"", """"]"
EPI,1028830658,2924-03084262-3A692266,2026-04-29T22:20:10.000Z,Quarterly Activities/Appendix 4C Cash Flow Report,619KB,true,EPI,,"[""Commitments Test Entity - Third Quarter Activity Report"", ""Commitments Test Entity - Third Quarter Cashflow Report""]","[{""symbolDisplay"": ""EPI""}]","[{""symbol"": ""EPI"", ""xid"": ""1028799574"", ""ASXSecurityType"": 1, ""displayName"": ""EPIMINDER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000432239"", ""xidEntity"": 1028830658, ""sector"": ""Health Care"", ""industryGroup"": ""Health Care Equipment & Services"", ""industry"": ""Health Care Equipment & Supplies"", ""subIndustry"": ""Health Care Equipment""}]","[""EPI"", """"]"
EPI,1028830658,2924-03079432-3A691460,2026-04-15T23:41:03.000Z,Change of Auditor,88KB,false,EPI,,"[""Details of Auditor Appointment/Resignation""]","[{""symbolDisplay"": ""EPI""}]","[{""symbol"": ""EPI"", ""xid"": ""1028799574"", ""ASXSecurityType"": 1, ""displayName"": ""EPIMINDER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000432239"", ""xidEntity"": 1028830658, ""sector"": ""Health Care"", ""industryGroup"": ""Health Care Equipment & Services"", ""industry"": ""Health Care Equipment & Supplies"", ""subIndustry"": ""Health Care Equipment""}]","[""EPI"", """"]"
EPI,1028830658,2924-03069310-3A689583,2026-03-17T04:37:30.000Z,Change of Director's Interest Notice PB,290KB,false,EPI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""EPI""}]","[{""symbol"": ""EPI"", ""xid"": ""1028799574"", ""ASXSecurityType"": 1, ""displayName"": ""EPIMINDER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000432239"", ""xidEntity"": 1028830658, ""sector"": ""Health Care"", ""industryGroup"": ""Health Care Equipment & Services"", ""industry"": ""Health Care Equipment & Supplies"", ""subIndustry"": ""Health Care Equipment""}]","[""EPI"", """"]"
EPI,1028830658,2924-03063977-3A688640,2026-03-03T01:11:26.000Z,Change of Director's Interest Notice RK,220KB,false,EPI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""EPI""}]","[{""symbol"": ""EPI"", ""xid"": ""1028799574"", ""ASXSecurityType"": 1, ""displayName"": ""EPIMINDER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000432239"", ""xidEntity"": 1028830658, ""sector"": ""Health Care"", ""industryGroup"": ""Health Care Equipment & Services"", ""industry"": ""Health Care Equipment & Supplies"", ""subIndustry"": ""Health Care Equipment""}]","[""EPI"", """"]"
EPI,1028830658,2924-03060633-3A687910,2026-02-24T21:14:49.000Z,1H FY26 Results Presentation,2462KB,true,EPI,,"[""Company Presentation"", ""Half Yearly Report""]","[{""symbolDisplay"": ""EPI""}]","[{""symbol"": ""EPI"", ""xid"": ""1028799574"", ""ASXSecurityType"": 1, ""displayName"": ""EPIMINDER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000432239"", ""xidEntity"": 1028830658, ""sector"": ""Health Care"", ""industryGroup"": ""Health Care Equipment & Services"", ""industry"": ""Health Care Equipment & Supplies"", ""subIndustry"": ""Health Care Equipment""}]","[""EPI"", """"]"
EPI,1028830658,2924-03060626-3A687909,2026-02-24T21:14:09.000Z,1H FY26 Results Announcement,263KB,true,EPI,,"[""Half Yearly Report""]","[{""symbolDisplay"": ""EPI""}]","[{""symbol"": ""EPI"", ""xid"": ""1028799574"", ""ASXSecurityType"": 1, ""displayName"": ""EPIMINDER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000432239"", ""xidEntity"": 1028830658, ""sector"": ""Health Care"", ""industryGroup"": ""Health Care Equipment & Services"", ""industry"": ""Health Care Equipment & Supplies"", ""subIndustry"": ""Health Care Equipment""}]","[""EPI"", """"]"
EPI,1028830658,2924-03060609-3A687907,2026-02-24T21:12:44.000Z,1HFY26 Appendix 4D and Financial Report,1799KB,true,EPI,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""EPI""}]","[{""symbol"": ""EPI"", ""xid"": ""1028799574"", ""ASXSecurityType"": 1, ""displayName"": ""EPIMINDER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000432239"", ""xidEntity"": 1028830658, ""sector"": ""Health Care"", ""industryGroup"": ""Health Care Equipment & Services"", ""industry"": ""Health Care Equipment & Supplies"", ""subIndustry"": ""Health Care Equipment""}]","[""EPI"", """"]"
EPI,1028830658,2924-03054348-3A686718,2026-02-08T23:23:13.000Z,Notification of Results/Reporting Date,61KB,false,EPI,,"[""Notification of Results/Reporting Date"", ""Web Cast""]","[{""symbolDisplay"": ""EPI""}]","[{""symbol"": ""EPI"", ""xid"": ""1028799574"", ""ASXSecurityType"": 1, ""displayName"": ""EPIMINDER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000432239"", ""xidEntity"": 1028830658, ""sector"": ""Health Care"", ""industryGroup"": ""Health Care Equipment & Services"", ""industry"": ""Health Care Equipment & Supplies"", ""subIndustry"": ""Health Care Equipment""}]","[""EPI"", """"]"
