ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
HZN,204290146,2924-03104396_NPS-2A1679780,2026-06-26T03:44:23.000Z,ECH:ECHELON RECEIVES SETTLEMENT PROCEEDS FROM CUE SHARE SALE,178KB,false,HZN,,"[""Progress Report""]","[{""symbolDisplay"": ""HZN""}, {""symbolDisplay"": ""CUE""}]","[{""symbol"": ""HZN"", ""xid"": ""151244"", ""ASXSecurityType"": 1, ""displayName"": ""HORIZON OIL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HZN8"", ""xidEntity"": 204290146}]","[""HZN"", ""CUE"", """"]"
HZN,204290146,2924-03104390-2A1679772,2026-06-26T03:24:18.000Z,Completion of Pre-Bid Agreement,204KB,true,HZN,,"[""Takeover - Other""]","[{""symbolDisplay"": ""HZN""}, {""symbolDisplay"": ""ECH""}, {""symbolDisplay"": ""CUE""}]","[{""symbol"": ""HZN"", ""xid"": ""151244"", ""ASXSecurityType"": 1, ""displayName"": ""HORIZON OIL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HZN8"", ""xidEntity"": 204290146}]","[""HZN"", ""ECH"", ""CUE"", """"]"
HZN,204290146,2924-03102264-3A695689,2026-06-21T22:18:25.000Z,Change in substantial holding from HZN,261KB,false,CUE,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""CUE""}, {""symbolDisplay"": ""HZN""}]","[{""symbol"": ""CUE"", ""xid"": ""83477"", ""ASXSecurityType"": 1, ""displayName"": ""CUE ENERGY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CUE9"", ""xidEntity"": 204240689, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""CUE"", ""HZN"", """"]"
HZN,204290146,2924-03101346-3A695525,2026-06-17T22:23:18.000Z,Change in substantial holding from HZN,264KB,false,CUE,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""CUE""}, {""symbolDisplay"": ""HZN""}]","[{""symbol"": ""CUE"", ""xid"": ""83477"", ""ASXSecurityType"": 1, ""displayName"": ""CUE ENERGY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CUE9"", ""xidEntity"": 204240689, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""CUE"", ""HZN"", """"]"
HZN,204290146,2924-03101157-2A1677854,2026-06-17T05:10:56.000Z,Offer declared UNCONDITIONAL and accelerated payment terms,932KB,true,HZN,,"[""Takeover - Other"", ""Supplementary Bidder's Statement""]","[{""symbolDisplay"": ""HZN""}, {""symbolDisplay"": ""CUE""}]","[{""symbol"": ""HZN"", ""xid"": ""151244"", ""ASXSecurityType"": 1, ""displayName"": ""HORIZON OIL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HZN8"", ""xidEntity"": 204290146}]","[""HZN"", ""CUE"", """"]"
HZN,204290146,2924-03099789-2A1677216,2026-06-12T05:30:27.000Z,Notice of Status of Conditions,212KB,true,HZN,,"[""Takeover - Other""]","[{""symbolDisplay"": ""HZN""}, {""symbolDisplay"": ""CUE""}]","[{""symbol"": ""HZN"", ""xid"": ""151244"", ""ASXSecurityType"": 1, ""displayName"": ""HORIZON OIL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HZN8"", ""xidEntity"": 204290146}]","[""HZN"", ""CUE"", """"]"
HZN,204290146,2924-03099784-2A1677215,2026-06-12T05:24:52.000Z,Notice to Free Offer from Conditions,217KB,true,HZN,,"[""Takeover - Other""]","[{""symbolDisplay"": ""HZN""}, {""symbolDisplay"": ""CUE""}]","[{""symbol"": ""HZN"", ""xid"": ""151244"", ""ASXSecurityType"": 1, ""displayName"": ""HORIZON OIL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HZN8"", ""xidEntity"": 204290146}]","[""HZN"", ""CUE"", """"]"
HZN,204290146,2924-03099400-3A695146,2026-06-11T06:52:23.000Z,Cue's Second Supplementary Target's Statement,340KB,true,CUE,,"[""Supplementary Target's Statement""]","[{""symbolDisplay"": ""CUE""}, {""symbolDisplay"": ""HZN""}]","[{""symbol"": ""CUE"", ""xid"": ""83477"", ""ASXSecurityType"": 1, ""displayName"": ""CUE ENERGY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CUE9"", ""xidEntity"": 204240689, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""CUE"", ""HZN"", """"]"
HZN,204290146,2924-03099043-3A695070,2026-06-10T22:31:25.000Z,Change in substantial holding from HZN,254KB,false,CUE,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""CUE""}, {""symbolDisplay"": ""HZN""}]","[{""symbol"": ""CUE"", ""xid"": ""83477"", ""ASXSecurityType"": 1, ""displayName"": ""CUE ENERGY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CUE9"", ""xidEntity"": 204240689, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""CUE"", ""HZN"", """"]"
HZN,204290146,2924-03098813-3A695027,2026-06-10T01:36:42.000Z,Update on Horizon Takeover Offer,240KB,false,CUE,,"[""Takeover - Other""]","[{""symbolDisplay"": ""CUE""}, {""symbolDisplay"": ""HZN""}]","[{""symbol"": ""CUE"", ""xid"": ""83477"", ""ASXSecurityType"": 1, ""displayName"": ""CUE ENERGY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CUE9"", ""xidEntity"": 204240689, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""CUE"", ""HZN"", """"]"
HZN,204290146,2924-03098234-2A1676394,2026-06-08T23:31:26.000Z,Third Supplementary Bidder's Statement,436KB,true,HZN,,"[""Supplementary Bidder's Statement""]","[{""symbolDisplay"": ""HZN""}, {""symbolDisplay"": ""CUE""}]","[{""symbol"": ""HZN"", ""xid"": ""151244"", ""ASXSecurityType"": 1, ""displayName"": ""HORIZON OIL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HZN8"", ""xidEntity"": 204290146}]","[""HZN"", ""CUE"", """"]"
HZN,204290146,2924-03095341-2A1674612,2026-05-29T06:09:28.000Z,Extension of offer period,696KB,false,HZN,,"[""Takeover - extension of offer period""]","[{""symbolDisplay"": ""HZN""}, {""symbolDisplay"": ""CUE""}]","[{""symbol"": ""HZN"", ""xid"": ""151244"", ""ASXSecurityType"": 1, ""displayName"": ""HORIZON OIL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HZN8"", ""xidEntity"": 204290146}]","[""HZN"", ""CUE"", """"]"
HZN,204290146,2924-03095340-2A1674610,2026-05-29T06:09:18.000Z,Notice of Fulfilment - NT Govenrment Approval,284KB,false,HZN,,"[""Takeover - Other""]","[{""symbolDisplay"": ""HZN""}, {""symbolDisplay"": ""CUE""}]","[{""symbol"": ""HZN"", ""xid"": ""151244"", ""ASXSecurityType"": 1, ""displayName"": ""HORIZON OIL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HZN8"", ""xidEntity"": 204290146}]","[""HZN"", ""CUE"", """"]"
HZN,204290146,2924-03094122-2A1673996,2026-05-26T23:35:43.000Z,Notice of Fulfilment - NZ Crown Minerals Act Approval,297KB,false,HZN,,"[""Takeover - Other""]","[{""symbolDisplay"": ""HZN""}, {""symbolDisplay"": ""CUE""}]","[{""symbol"": ""HZN"", ""xid"": ""151244"", ""ASXSecurityType"": 1, ""displayName"": ""HORIZON OIL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HZN8"", ""xidEntity"": 204290146}]","[""HZN"", ""CUE"", """"]"
HZN,204290146,2924-03090168-3A693314,2026-05-14T05:07:34.000Z,Update on Horizon Takeover Offer,248KB,false,CUE,,"[""Takeover - Other""]","[{""symbolDisplay"": ""CUE""}, {""symbolDisplay"": ""HZN""}]","[{""symbol"": ""CUE"", ""xid"": ""83477"", ""ASXSecurityType"": 1, ""displayName"": ""CUE ENERGY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CUE9"", ""xidEntity"": 204240689, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""CUE"", ""HZN"", """"]"
HZN,204290146,2924-03084556-2A1669041,2026-04-29T23:33:46.000Z,Quarterly Activities Report,994KB,true,HZN,,"[""Third Quarter Activities Report""]","[{""symbolDisplay"": ""HZN""}]","[{""symbol"": ""HZN"", ""xid"": ""151244"", ""ASXSecurityType"": 1, ""displayName"": ""HORIZON OIL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HZN8"", ""xidEntity"": 204290146}]","[""HZN"", """"]"
HZN,204290146,2924-03081309-2A1667717,2026-04-22T01:15:39.000Z,Change of Director's Interest Notice,114KB,false,HZN,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""HZN""}]","[{""symbol"": ""HZN"", ""xid"": ""151244"", ""ASXSecurityType"": 1, ""displayName"": ""HORIZON OIL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HZN8"", ""xidEntity"": 204290146}]","[""HZN"", """"]"
HZN,204290146,2924-03081308-2A1667716,2026-04-22T01:14:19.000Z,Notification regarding unquoted securities - HZN,17KB,false,HZN,,"[""Appendix 3G""]","[{""symbolDisplay"": ""HZN""}]","[{""symbol"": ""HZN"", ""xid"": ""151244"", ""ASXSecurityType"": 1, ""displayName"": ""HORIZON OIL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HZN8"", ""xidEntity"": 204290146}]","[""HZN"", """"]"
HZN,204290146,2924-03081306-2A1667715,2026-04-22T01:11:28.000Z,Notification regarding unquoted securities - HZN,17KB,false,HZN,,"[""Appendix 3G""]","[{""symbolDisplay"": ""HZN""}]","[{""symbol"": ""HZN"", ""xid"": ""151244"", ""ASXSecurityType"": 1, ""displayName"": ""HORIZON OIL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HZN8"", ""xidEntity"": 204290146}]","[""HZN"", """"]"
HZN,204290146,2924-03079441-2A1666827,2026-04-15T23:54:49.000Z,Second Supplementary Bidder's Statement,239KB,true,HZN,,"[""Supplementary Bidder's Statement""]","[{""symbolDisplay"": ""HZN""}, {""symbolDisplay"": ""CUE""}]","[{""symbol"": ""HZN"", ""xid"": ""151244"", ""ASXSecurityType"": 1, ""displayName"": ""HORIZON OIL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HZN8"", ""xidEntity"": 204290146}]","[""HZN"", ""CUE"", """"]"
HZN,204290146,2924-03078857-2A1666538,2026-04-14T22:38:05.000Z,Notice of Fulfilment - Minimum acceptance condition,196KB,false,HZN,,"[""Takeover - Other""]","[{""symbolDisplay"": ""HZN""}, {""symbolDisplay"": ""CUE""}]","[{""symbol"": ""HZN"", ""xid"": ""151244"", ""ASXSecurityType"": 1, ""displayName"": ""HORIZON OIL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HZN8"", ""xidEntity"": 204290146}]","[""HZN"", ""CUE"", """"]"
HZN,204290146,2924-03078848-3A691349,2026-04-14T22:32:59.000Z,Change in substantial holding from HZN,201KB,false,CUE,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""CUE""}, {""symbolDisplay"": ""HZN""}]","[{""symbol"": ""CUE"", ""xid"": ""83477"", ""ASXSecurityType"": 1, ""displayName"": ""CUE ENERGY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CUE9"", ""xidEntity"": 204240689, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""CUE"", ""HZN"", """"]"
HZN,204290146,2924-03078529-3A691294,2026-04-14T01:53:02.000Z,Cue's First Supplementary Target's Statement,400KB,true,CUE,,"[""Supplementary Target's Statement""]","[{""symbolDisplay"": ""CUE""}, {""symbolDisplay"": ""HZN""}]","[{""symbol"": ""CUE"", ""xid"": ""83477"", ""ASXSecurityType"": 1, ""displayName"": ""CUE ENERGY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CUE9"", ""xidEntity"": 204240689, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""CUE"", ""HZN"", """"]"
HZN,204290146,2924-03078231_PS-2A1666231,2026-04-13T07:30:30.000Z,TOV: CUE - Panel Declines to Conduct Proceedings,206KB,true,HZN,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""HZN""}, {""symbolDisplay"": ""ECH""}, {""symbolDisplay"": ""CUE""}]","[{""symbol"": ""HZN"", ""xid"": ""151244"", ""ASXSecurityType"": 1, ""displayName"": ""HORIZON OIL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HZN8"", ""xidEntity"": 204290146}]","[""HZN"", ""ECH"", ""CUE"", """"]"
HZN,204290146,2924-03078045-3A691200,2026-04-12T23:56:42.000Z,New Gas Sales Agreement Supports Two New Palm Valley Wells,239KB,true,CUE,,"[""Progress Report""]","[{""symbolDisplay"": ""CUE""}, {""symbolDisplay"": ""ECH""}, {""symbolDisplay"": ""HZN""}, {""symbolDisplay"": ""CTP""}]","[{""symbol"": ""CUE"", ""xid"": ""83477"", ""ASXSecurityType"": 1, ""displayName"": ""CUE ENERGY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CUE9"", ""xidEntity"": 204240689, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""CUE"", ""ECH"", ""HZN"", ""CTP"", """"]"
HZN,204290146,2924-03078028-6A1320186,2026-04-12T23:44:47.000Z,New Gas Sale Agreement underwrites two new Palm Valley wells,316KB,true,CTP,,"[""Progress Report""]","[{""symbolDisplay"": ""CTP""}, {""symbolDisplay"": ""ECH""}, {""symbolDisplay"": ""HZN""}, {""symbolDisplay"": ""CUE""}]","[{""symbol"": ""CTP"", ""xid"": ""3494642"", ""ASXSecurityType"": 1, ""displayName"": ""CENTRAL PETROLEUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CTP7"", ""xidEntity"": 204235446, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""CTP"", ""ECH"", ""HZN"", ""CUE"", """"]"
HZN,204290146,2924-03078016-2A1666102,2026-04-12T23:35:47.000Z,Mereenie Expiry of PWC LOI and Update on Gas Market Strategy,165KB,true,HZN,,"[""Progress Report""]","[{""symbolDisplay"": ""HZN""}, {""symbolDisplay"": ""ECH""}, {""symbolDisplay"": ""CTP""}, {""symbolDisplay"": ""CUE""}]","[{""symbol"": ""HZN"", ""xid"": ""151244"", ""ASXSecurityType"": 1, ""displayName"": ""HORIZON OIL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HZN8"", ""xidEntity"": 204290146}]","[""HZN"", ""ECH"", ""CTP"", ""CUE"", """"]"
HZN,204290146,2924-03078002-3A691185,2026-04-12T23:24:56.000Z,Echelon Signs Gas Supply Agreement Unlocking NT Growth,237KB,true,ECH,,"[""Progress Report""]","[{""symbolDisplay"": ""ECH""}, {""symbolDisplay"": ""HZN""}, {""symbolDisplay"": ""CTP""}, {""symbolDisplay"": ""CUE""}]","[{""symbol"": ""ECH"", ""xid"": ""617023606"", ""ASXSecurityType"": 1, ""displayName"": ""ECHELON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZNZOE0010S7"", ""xidEntity"": 204147047, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""ECH"", ""HZN"", ""CTP"", ""CUE"", """"]"
HZN,204290146,2924-03076982_PS-3A691022,2026-04-08T23:46:27.000Z,TOV: CUE - Undertaking,169KB,true,CUE,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""CUE""}, {""symbolDisplay"": ""ECH""}, {""symbolDisplay"": ""HZN""}]","[{""symbol"": ""CUE"", ""xid"": ""83477"", ""ASXSecurityType"": 1, ""displayName"": ""CUE ENERGY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CUE9"", ""xidEntity"": 204240689, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""CUE"", ""ECH"", ""HZN"", """"]"
HZN,204290146,2924-03075842-3A690826,2026-04-06T23:02:54.000Z,Cue's Target's Statement,2384KB,true,CUE,,"[""Target's Statement - Off-market bid""]","[{""symbolDisplay"": ""CUE""}, {""symbolDisplay"": ""HZN""}]","[{""symbol"": ""CUE"", ""xid"": ""83477"", ""ASXSecurityType"": 1, ""displayName"": ""CUE ENERGY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CUE9"", ""xidEntity"": 204240689, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""CUE"", ""HZN"", """"]"
HZN,204290146,2924-03075050-3A690681,2026-04-01T21:45:17.000Z,Echelon Extends Terms Sheet Deadline,199KB,false,ECH,,"[""Progress Report""]","[{""symbolDisplay"": ""ECH""}, {""symbolDisplay"": ""HZN""}, {""symbolDisplay"": ""CTP""}, {""symbolDisplay"": ""CUE""}]","[{""symbol"": ""ECH"", ""xid"": ""617023606"", ""ASXSecurityType"": 1, ""displayName"": ""ECHELON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZNZOE0010S7"", ""xidEntity"": 204147047, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""ECH"", ""HZN"", ""CTP"", ""CUE"", """"]"
HZN,204290146,2924-03075000-2A1663995,2026-04-01T21:18:47.000Z,Mereenie - LOI Gas Sales Agreement Update,154KB,false,HZN,,"[""Progress Report""]","[{""symbolDisplay"": ""HZN""}, {""symbolDisplay"": ""ECH""}, {""symbolDisplay"": ""CTP""}, {""symbolDisplay"": ""CUE""}]","[{""symbol"": ""HZN"", ""xid"": ""151244"", ""ASXSecurityType"": 1, ""displayName"": ""HORIZON OIL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HZN8"", ""xidEntity"": 204290146}]","[""HZN"", ""ECH"", ""CTP"", ""CUE"", """"]"
HZN,204290146,2924-03074917-6A1319068,2026-04-01T07:14:26.000Z,LOI Gas Sale Agreements Update,312KB,false,CTP,,"[""Progress Report""]","[{""symbolDisplay"": ""CTP""}, {""symbolDisplay"": ""ECH""}, {""symbolDisplay"": ""HZN""}, {""symbolDisplay"": ""CUE""}]","[{""symbol"": ""CTP"", ""xid"": ""3494642"", ""ASXSecurityType"": 1, ""displayName"": ""CENTRAL PETROLEUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CTP7"", ""xidEntity"": 204235446, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""CTP"", ""ECH"", ""HZN"", ""CUE"", """"]"
HZN,204290146,2924-03073965_PS-3A690488,2026-03-30T22:55:20.000Z,TOV: CUE Panel Receives Application,209KB,true,CUE,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""CUE""}, {""symbolDisplay"": ""ECH""}, {""symbolDisplay"": ""HZN""}]","[{""symbol"": ""CUE"", ""xid"": ""83477"", ""ASXSecurityType"": 1, ""displayName"": ""CUE ENERGY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CUE9"", ""xidEntity"": 204240689, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""CUE"", ""ECH"", ""HZN"", """"]"
HZN,204290146,2924-03073249-3A690380,2026-03-29T21:23:10.000Z,Change in substantial holding from HZN,243KB,false,CUE,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""CUE""}, {""symbolDisplay"": ""HZN""}]","[{""symbol"": ""CUE"", ""xid"": ""83477"", ""ASXSecurityType"": 1, ""displayName"": ""CUE ENERGY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CUE9"", ""xidEntity"": 204240689, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""CUE"", ""HZN"", """"]"
HZN,204290146,2924-03073083-2A1662897,2026-03-27T06:13:45.000Z,Notice of Fulfilment - Minimum Bid Price Condition,261KB,false,HZN,,"[""Takeover - Other""]","[{""symbolDisplay"": ""HZN""}, {""symbolDisplay"": ""CUE""}]","[{""symbol"": ""HZN"", ""xid"": ""151244"", ""ASXSecurityType"": 1, ""displayName"": ""HORIZON OIL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HZN8"", ""xidEntity"": 204290146}]","[""HZN"", ""CUE"", """"]"
HZN,204290146,2924-03071756-3A690074,2026-03-24T21:33:44.000Z,ECHELON EXTENDS TERMS SHEET DEADLINE,98KB,false,ECH,,"[""Progress Report""]","[{""symbolDisplay"": ""ECH""}, {""symbolDisplay"": ""HZN""}, {""symbolDisplay"": ""CTP""}, {""symbolDisplay"": ""CUE""}]","[{""symbol"": ""ECH"", ""xid"": ""617023606"", ""ASXSecurityType"": 1, ""displayName"": ""ECHELON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZNZOE0010S7"", ""xidEntity"": 204147047, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""ECH"", ""HZN"", ""CTP"", ""CUE"", """"]"
HZN,204290146,2924-03071674-2A1662169,2026-03-24T21:11:44.000Z,Mereenie - LOI Gas Sales Agreement Update,154KB,false,HZN,,"[""Progress Report""]","[{""symbolDisplay"": ""HZN""}, {""symbolDisplay"": ""ECH""}, {""symbolDisplay"": ""CTP""}, {""symbolDisplay"": ""CUE""}]","[{""symbol"": ""HZN"", ""xid"": ""151244"", ""ASXSecurityType"": 1, ""displayName"": ""HORIZON OIL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HZN8"", ""xidEntity"": 204290146}]","[""HZN"", ""ECH"", ""CTP"", ""CUE"", """"]"
HZN,204290146,2924-03071597-6A1317664,2026-03-24T05:59:03.000Z,LOI Gas Sale Agreements Update,306KB,false,CTP,,"[""Progress Report""]","[{""symbolDisplay"": ""CTP""}, {""symbolDisplay"": ""ECH""}, {""symbolDisplay"": ""HZN""}, {""symbolDisplay"": ""CUE""}]","[{""symbol"": ""CTP"", ""xid"": ""3494642"", ""ASXSecurityType"": 1, ""displayName"": ""CENTRAL PETROLEUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CTP7"", ""xidEntity"": 204235446, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""CTP"", ""ECH"", ""HZN"", ""CUE"", """"]"
HZN,204290146,2924-03070144-2A1661290,2026-03-19T03:03:33.000Z,Completion of Despatch of Replacement Bidder's Statement,3930KB,false,HZN,,"[""Bidder's Statement - Off-market bid"", ""Takeover - Other""]","[{""symbolDisplay"": ""HZN""}, {""symbolDisplay"": ""CUE""}]","[{""symbol"": ""HZN"", ""xid"": ""151244"", ""ASXSecurityType"": 1, ""displayName"": ""HORIZON OIL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HZN8"", ""xidEntity"": 204290146}]","[""HZN"", ""CUE"", """"]"
