ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
ARF,233829452,2924-03101761-3A695611,2026-06-18T22:26:12.000Z,Market Update,242KB,true,ARF,,"[""Notification of Results/Reporting Date"", ""Periodic Reports - Other"", ""Dividend Rate""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03101583-3A695562,2026-06-18T05:36:21.000Z,Dividend/Distribution - ARF,18KB,false,ARF,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03101582-3A695563,2026-06-18T05:36:16.000Z,Quarterly distribution,191KB,true,ARF,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03091185-3A693507,2026-05-18T07:02:40.000Z,Change of Director's Interest Notice - Tindall,254KB,false,ARF,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03087658-3A692881,2026-05-06T23:31:20.000Z,Change of Director's Interest Notice - Thornton,271KB,false,ARF,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03087656-3A692880,2026-05-06T23:31:05.000Z,Change of Director's Interest Notice - Hartnett,271KB,false,ARF,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03087646-3A692879,2026-05-06T23:28:05.000Z,Change of Director's Interest Notice - Bailey,256KB,false,ARF,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03087640-3A692878,2026-05-06T23:25:40.000Z,Application for quotation of securities - ARF,15KB,false,ARF,,"[""Appendix 2A""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03087220-3A692784,2026-05-06T01:26:42.000Z,Initial Director's Interest Notice,229KB,false,ARF,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03087218-3A692783,2026-05-06T01:25:32.000Z,Appointment of independent non-executive director,221KB,false,ARF,,"[""Director Appointment/Resignation""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03084885-3A692361,2026-04-30T04:13:27.000Z,Notice for custodians in respect of March 2026 distribution,241KB,false,ARF,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03083921-3A692213,2026-04-29T04:51:24.000Z,Market update,219KB,false,ARF,,"[""Progress Report""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03080443-3A691652,2026-04-20T02:48:15.000Z,Update - Dividend/Distribution - ARF,18KB,false,ARF,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03071516-3A690019,2026-03-24T02:32:47.000Z,Quarterly distribution,191KB,true,ARF,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03071514-3A690018,2026-03-24T02:25:22.000Z,Dividend/Distribution - ARF,18KB,true,ARF,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03071484-3A690013,2026-03-24T00:44:06.000Z,Change of Director's Interest Notice - Bailey,222KB,false,ARF,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03070083-3A689732,2026-03-18T23:27:06.000Z,Change of Director's Interest Notice  - Bailey,222KB,false,ARF,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03069585-3A689648,2026-03-17T22:15:22.000Z,Change of Director's Interest Notice - Bailey,222KB,false,ARF,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03065322-3A688923,2026-03-05T22:28:17.000Z,Change of Director's Interest Notice - Bailey,222KB,false,ARF,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03055216-3A686870,2026-02-10T22:09:00.000Z,HY2026 Results Presentation,3433KB,true,ARF,,"[""Company Presentation"", ""Half Yearly Report""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03055215-3A686868,2026-02-10T22:08:00.000Z,HY2026 Results,279KB,true,ARF,,"[""Web Cast"", ""Half Yearly Report""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03055211-3A686865,2026-02-10T22:06:30.000Z,Appendix 4D and HY2026 Financial Report,594KB,true,ARF,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03054461-3A686734,2026-02-09T03:22:05.000Z,Change of Director's Interest Notice - Hartnett,286KB,false,ARF,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03054460-3A686733,2026-02-09T03:21:50.000Z,Change of Director's Interest Notice - Thornton,287KB,false,ARF,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03053301-3A686552,2026-02-04T22:40:40.000Z,Application for quotation of securities - ARF,15KB,false,ARF,,"[""Appendix 2A""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03051872-3A686332,2026-02-01T23:03:13.000Z,Notice for custodians in respect of Dec 2025 distribution,196KB,true,ARF,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03048257-3A685746,2026-01-22T02:49:42.000Z,HY2026 Results reporting date - Teleconference details,197KB,false,ARF,,"[""Notification of Results/Reporting Date"", ""Web Cast""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03047166-3A685579,2026-01-19T01:58:10.000Z,Update - Dividend/Distribution - ARF,18KB,false,ARF,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03039187-3A684204,2025-12-18T03:05:51.000Z,Market update,232KB,true,ARF,,"[""Notification of Results/Reporting Date"", ""Trading Update""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03039182-3A684200,2025-12-18T02:53:06.000Z,Dividend/Distribution - ARF,18KB,false,ARF,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03039181-3A684203,2025-12-18T02:52:41.000Z,Quarterly distribution,154KB,true,ARF,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03023402-3A681422,2025-11-14T05:23:08.000Z,Change of Director's Interest Notice - Winter,262KB,false,ARF,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03023401-3A681421,2025-11-14T05:22:18.000Z,Final Director's Interest Notice - de Vos,231KB,false,ARF,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03023122-3A681359,2025-11-13T22:33:36.000Z,Initial Director's Interest Notice,288KB,false,ARF,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03022663-3A681270,2025-11-13T00:32:13.000Z,Appointment of Justin Bailey as Managing Director and CEO,214KB,false,ARF,,"[""CEO/Managing Director - Appointment Resignation""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03022662-3A681269,2025-11-13T00:29:38.000Z,Results of AGM,251KB,false,ARF,,"[""Results of Meeting""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03022425-3A681212,2025-11-12T21:48:42.000Z,2025 AGM Presentation,3506KB,false,ARF,,"[""Company Presentation"", ""Chair's Address to Shareholders""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03022422-3A681211,2025-11-12T21:47:52.000Z,2025 AGM Chair's Address and Managing Director's Report,297KB,false,ARF,,"[""Chair's Address to Shareholders""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03019643-3A680698,2025-11-05T21:57:44.000Z,Change of Director's Interest Notice - Thornton,304KB,false,ARF,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03019636-3A680695,2025-11-05T21:54:39.000Z,Change of Director's Interest Notice - Hartnett,304KB,false,ARF,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03019633-3A680693,2025-11-05T21:53:19.000Z,Application for quotation of securities - ARF,15KB,false,ARF,,"[""Appendix 2A""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03017803-3A680422,2025-10-31T08:06:21.000Z,Change in substantial holding,509KB,false,ARF,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03015712-3A680084,2025-10-29T04:50:41.000Z,Notice for custodians in respect of Sept 2025 distribution,196KB,false,ARF,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03009089-3A678971,2025-10-16T02:51:02.000Z,Update - Dividend/Distribution - ARF,18KB,false,ARF,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-03005185-3A678256,2025-10-08T02:31:12.000Z,Notice of Annual General Meeting/Proxy Form,1855KB,false,ARF,,"[""Notice of Annual General Meeting"", ""Proxy Form"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-02998208-3A677174,2025-09-24T23:51:46.000Z,Change of Director's Interest Notice - G Winter,262KB,false,ARF,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-02998207-3A677173,2025-09-24T23:51:36.000Z,Change of Director's Interest Notice - R de Vos,261KB,false,ARF,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-02996985-3A676975,2025-09-23T00:57:33.000Z,Application for quotation of securities - ARF,17KB,false,ARF,,"[""Appendix 2A""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-02996984-3A676974,2025-09-23T00:56:33.000Z,Application for quotation of securities - ARF,17KB,false,ARF,,"[""Appendix 2A""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-02996983-3A676973,2025-09-23T00:54:13.000Z,Application for quotation of securities - ARF,17KB,false,ARF,,"[""Appendix 2A""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
ARF,233829452,2924-02996907-3A676961,2025-09-22T23:34:23.000Z,Arena REIT 2025 Sustainability Report,14736KB,false,ARF,,"[""Sustainability/Climate Action Report""]","[{""symbolDisplay"": ""ARF""}]","[{""symbol"": ""ARF"", ""xid"": ""58695765"", ""ASXSecurityType"": 6, ""displayName"": ""ARENA REIT."", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000ARF6"", ""xidEntity"": 233829452}]","[""ARF"", """"]"
