ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
APE,204163453,2924-03099842-2A1677234,2026-06-12T06:54:27.000Z,Notification of cessation of securities - APE,12KB,false,APE,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03098185-2A1676373,2026-06-08T23:04:56.000Z,Notification of buy-back - APE,12KB,false,APE,,"[""Market Buy-Back""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03098182-2A1676367,2026-06-08T23:04:11.000Z,Intention to continue on-market share buy-back,109KB,false,APE,,"[""Market Buy-Back""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03097229-2A1675606,2026-06-04T00:30:25.000Z,Change of Director's Interest Notice - POLITIS,164KB,false,APE,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03097054-2A1675477,2026-06-03T22:24:39.000Z,Update - Notification of buy-back - APE,15KB,false,APE,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03095863-2A1674891,2026-06-01T04:49:29.000Z,Final Director's Interest Notice - BLACKHALL,273KB,false,APE,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03094389-2A1674132,2026-05-27T08:12:01.000Z,Ceasing to be a substantial holder,555KB,false,APE,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03094211-2A1674035,2026-05-27T02:28:49.000Z,Results of AGM - 2026,284KB,false,APE,,"[""Results of Meeting""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03094026-2A1673950,2026-05-26T22:27:37.000Z,AGM Material and Outlook,6496KB,true,APE,,"[""Company Presentation"", ""Chair's Address to Shareholders""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03093903-2A1673909,2026-05-26T07:48:11.000Z,Becoming a substantial holder,2065KB,false,APE,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03093479-2A1673706,2026-05-25T07:59:17.000Z,Ceasing to be a substantial holder,746KB,false,APE,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03091597-2A1672762,2026-05-19T06:50:55.000Z,Becoming a substantial holder,2059KB,false,APE,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03090295-2A1672156,2026-05-14T22:15:51.000Z,Ceasing to be a substantial holder,1035KB,false,APE,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03089857-2A1671960,2026-05-13T22:18:12.000Z,Becoming a substantial holder,1288KB,false,APE,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03085967-2A1669685,2026-05-03T22:53:47.000Z,Update to Appendix 3B - Exchangeable Shares,964KB,false,APE,,"[""Disclosure Document"", ""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03085894-2A1669683,2026-05-03T22:17:02.000Z,Completion of CanadaOne Auto Strategic Investment,113KB,false,APE,,"[""Asset Acquisition"", ""Progress Report""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03082058-2A1668035,2026-04-23T22:21:20.000Z,Appendix 4G,348KB,false,APE,,"[""Appendix 4G""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03082057-2A1668034,2026-04-23T22:21:10.000Z,Corporate Governance Statement 2025,481KB,false,APE,,"[""Corporate Governance""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03082056-2A1668032,2026-04-23T22:21:05.000Z,Annual Report 2025,16841KB,false,APE,,"[""Sustainability/Climate Action Report"", ""Annual Report"", ""Top 20 shareholders"", ""Full Year Accounts"", ""Full Year Audit Review"", ""Full Year Directors' Statement"", ""Full Year Directors' Report""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03082053-2A1668029,2026-04-23T22:20:35.000Z,AGM Notice of Meeting and Voting Form,1084KB,false,APE,,"[""Notice of Annual General Meeting"", ""Proxy Form""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03082048-2A1668026,2026-04-23T22:19:35.000Z,AGM Instructions on How to Attend & Vote,281KB,false,APE,,"[""Notice of Meeting - Other""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03074587-2A1663697,2026-03-31T22:29:28.000Z,Update on Growth Initiatives and CanadaOne Auto Completion,1063KB,true,APE,,"[""Progress Report - Other"", ""Company Administration - Other""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03072968-2A1662827,2026-03-27T03:52:24.000Z,Date of AGM,83KB,false,APE,,"[""Notice of Meeting - Other""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03071141-2A1661833,2026-03-23T05:19:58.000Z,Notification of cessation of securities - APE,12KB,false,APE,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03071139-2A1661832,2026-03-23T05:14:13.000Z,Notification regarding unquoted securities - APE,14KB,false,APE,,"[""Appendix 3G""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03063972-2A1657556,2026-03-03T01:07:01.000Z,Change of Director's Interest Notice - CROMMELIN,159KB,false,APE,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03059677-2A1655136,2026-02-23T01:39:28.000Z,Change of Director's Interest Notice - POLITIS,164KB,false,APE,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03058405-2A1654511,2026-02-18T22:38:12.000Z,FY 2025 Results Presentation,9579KB,false,APE,,"[""Company Presentation"", ""Preliminary Final Report""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03058404-2A1654510,2026-02-18T22:37:42.000Z,FY 2025 Results Announcement,782KB,false,APE,,"[""Preliminary Final Report"", ""Dividend Rate""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03058403-2A1654508,2026-02-18T22:37:12.000Z,Dividend/Distribution - APE,13KB,false,APE,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03058402-2A1654505,2026-02-18T22:37:02.000Z,FY 2025 Financial Report,9875KB,true,APE,,"[""Sustainability/Climate Action Report"", ""Web Cast"", ""Preliminary Final Report"", ""Full Year Accounts"", ""Full Year Audit Review"", ""Full Year Directors' Statement"", ""Full Year Directors' Report"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03053411-2A1651916,2026-02-05T03:37:17.000Z,FY25 Results - Analyst & Investor Call Details,100KB,false,APE,,"[""Notification of Results/Reporting Date"", ""Web Cast""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03042027-2A1645339,2025-12-28T23:39:37.000Z,Notification regarding unquoted securities - APE,16KB,false,APE,,"[""Appendix 3G""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03037503-2A1643081,2025-12-15T02:25:04.000Z,Change of Director's Interest Notice - CROMMELIN,162KB,false,APE,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03037501-2A1643080,2025-12-15T02:22:04.000Z,Change of Director's Interest Notice - POLITIS,157KB,false,APE,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
APE,204163453,2924-03034027_PS-6A1301815,2025-12-05T06:06:27.000Z,S&P DJI Announces December 2025 Quarterly Rebalance,77KB,true,LYC,,"[""Standard and Poor's Announcement""]","[{""symbolDisplay"": ""LYC""}, {""symbolDisplay"": ""ABB""}, {""symbolDisplay"": ""ACE""}, {""symbolDisplay"": ""APE""}, {""symbolDisplay"": ""AMC""}, {""symbolDisplay"": ""AYA""}, {""symbolDisplay"": ""CGS""}, {""symbolDisplay"": ""BOE""}, {""symbolDisplay"": ""HMC""}, {""symbolDisplay"": ""IPH""}, {""symbolDisplay"": ""NXG""}, {""symbolDisplay"": ""CMM""}, {""symbolDisplay"": ""RWC""}, {""symbolDisplay"": ""MGR""}, {""symbolDisplay"": ""PNR""}, {""symbolDisplay"": ""REH""}, {""symbolDisplay"": ""KYP""}, {""symbolDisplay"": ""RSG""}, {""symbolDisplay"": ""SOL""}, {""symbolDisplay"": ""SLX""}, {""symbolDisplay"": ""OBM""}, {""symbolDisplay"": ""BAP""}, {""symbolDisplay"": ""ING""}]","[{""symbol"": ""LYC"", ""xid"": ""194790"", ""ASXSecurityType"": 1, ""displayName"": ""LYNAS RARE EARTHS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LYC6"", ""xidEntity"": 204273756, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""LYC"", ""ABB"", ""ACE"", ""APE"", ""AMC"", ""AYA"", ""CGS"", ""BOE"", ""HMC"", ""IPH"", ""NXG"", ""CMM"", ""RWC"", ""MGR"", ""PNR"", ""REH"", ""KYP"", ""RSG"", ""SOL"", ""SLX"", ""OBM"", ""BAP"", ""ING"", """"]"
APE,204163453,2924-03019360-2A1634055,2025-11-05T05:47:33.000Z,Change in substantial holding - PRATER,1248KB,false,APE,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""APE""}]","[{""symbol"": ""APE"", ""xid"": ""46648"", ""ASXSecurityType"": 1, ""displayName"": ""EAGERS AUTOMOTIVE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000APE3"", ""xidEntity"": 204163453, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Specialty Retail"", ""subIndustry"": ""Automotive Retail""}]","[""APE"", """"]"
