ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
PCI,521342013,2924-03105576-2A1680708,2026-06-30T02:59:41.000Z,Daily Net Tangible Asset Statement,416KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03104996-2A1680089,2026-06-29T03:54:21.000Z,Daily Net Tangible Asset Statement,416KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03104376-2A1679767,2026-06-26T02:49:08.000Z,Daily Net Tangible Asset Statement,416KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03103990-2A1679440,2026-06-25T06:33:54.000Z,Daily Net Tangible Asset Statement,416KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03103394-2A1678979,2026-06-24T02:33:38.000Z,Daily Net Tangible Asset Statement,416KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03103343-2A1678958,2026-06-24T01:01:43.000Z,Dividend/Distribution - PCI,15KB,true,PCI,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03102938-2A1678781,2026-06-23T02:55:14.000Z,Daily Net Tangible Asset Statement,433KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03102521-2A1678503,2026-06-22T04:30:56.000Z,Daily Net Tangible Asset Statement,416KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03101928-2A1678227,2026-06-19T02:34:14.000Z,Daily Net Tangible Asset Statement,416KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03101618-2A1678091,2026-06-18T06:35:11.000Z,PCI Monthly Investment Report- May 2026,2904KB,false,PCI,,"[""Periodic Reports - Other"", ""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03101541-2A1678049,2026-06-18T02:31:15.000Z,Daily Net Tangible Asset Statement,416KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03101120-2A1677836,2026-06-17T03:17:20.000Z,Daily Net Tangible Asset Statement,415KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03100704-2A1677642,2026-06-16T03:47:16.000Z,Daily Net Tangible Asset Statement,434KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03100247-2A1677414,2026-06-15T02:20:10.000Z,Daily Net Tangible Asset Statement,416KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03099712-2A1677172,2026-06-12T02:34:15.000Z,Daily Net Tangible Asset Statement,466KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03099298-2A1676957,2026-06-11T02:47:46.000Z,Daily Net Tangible Asset Statement,466KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03098836-2A1676730,2026-06-10T03:07:52.000Z,Daily Net Tangible Asset Statement,466KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03098378-2A1676512,2026-06-09T02:57:42.000Z,Daily Net Tangible Asset Statement,484KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03098292-2A1676421,2026-06-09T00:01:51.000Z,Application for quotation of securities - PCI,14KB,false,PCI,,"[""Appendix 2A""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03097738-2A1676055,2026-06-05T02:46:09.000Z,Daily Net Tangible Asset Statement,485KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03097277-2A1675628,2026-06-04T02:39:40.000Z,Daily Net Tangible Asset Statement,485KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03096805-2A1675388,2026-06-03T03:03:27.000Z,Daily Net Tangible Asset Statement,466KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03096770-2A1675371,2026-06-03T01:27:21.000Z,Update - Dividend/Distribution - PCI,15KB,false,PCI,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03096287-2A1675089,2026-06-02T02:43:27.000Z,Daily Net Tangible Asset Statement,466KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03095837-2A1674864,2026-06-01T02:46:08.000Z,Daily Net Tangible Asset Statement,466KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03095201-2A1674552,2026-05-29T03:02:22.000Z,Daily Net Tangible Asset Statement,497KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03094722-2A1674292,2026-05-28T02:40:33.000Z,Daily Net Tangible Asset Statement,497KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03094217-2A1674038,2026-05-27T02:38:59.000Z,Daily Net Tangible Asset Statement,472KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03093793-2A1673849,2026-05-26T03:21:50.000Z,Daily Net Tangible Asset Statement,497KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03093355-2A1673570,2026-05-25T03:22:05.000Z,Daily Net Tangible Asset Statement,497KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03093270-2A1673526,2026-05-24T23:27:24.000Z,Dividend/Distribution - PCI,15KB,true,PCI,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03092844-2A1673364,2026-05-22T02:20:56.000Z,Daily Net Tangible Asset Statement,472KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03092460-2A1673183,2026-05-21T02:39:02.000Z,Daily Net Tangible Asset Statement,497KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03091998-2A1672945,2026-05-20T02:21:57.000Z,Daily Net Tangible Asset Statement,472KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03091514-2A1672720,2026-05-19T02:33:23.000Z,Daily Net Tangible Asset Statement,497KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03091067-2A1672505,2026-05-18T02:37:23.000Z,Daily Net Tangible Asset Statement,497KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03090598-2A1672309,2026-05-15T05:47:09.000Z,PCI Monthly Investment Report- April 2026,2909KB,false,PCI,,"[""Periodic Reports - Other"", ""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03090533-2A1672274,2026-05-15T02:47:52.000Z,Daily Net Tangible Asset Statement,498KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03090115-2A1672075,2026-05-14T02:21:03.000Z,Daily Net Tangible Asset Statement,472KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03089742-2A1671895,2026-05-13T06:11:36.000Z,Daily Net Tangible Asset Statement,566KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03089701-2A1671876,2026-05-13T03:28:20.000Z,Daily Net Tangible Asset Statement,472KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03089207-2A1671661,2026-05-12T02:55:30.000Z,Daily Net Tangible Asset Statement,472KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03088787-2A1671450,2026-05-11T03:23:26.000Z,Daily Net Tangible Asset Statement,472KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03088273-2A1671223,2026-05-08T02:37:46.000Z,Daily Net Tangible Asset Statement,473KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03088209-2A1671184,2026-05-08T00:24:40.000Z,Application for quotation of securities - PCI,14KB,false,PCI,,"[""Appendix 2A""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03087793-2A1670913,2026-05-07T02:41:51.000Z,Daily Net Tangible Asset Statement,472KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03087268-2A1670573,2026-05-06T03:22:42.000Z,Daily Net Tangible Asset Statement,472KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03086701-2A1670063,2026-05-05T02:34:48.000Z,Daily Net Tangible Asset Statement,498KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03086594-2A1670026,2026-05-04T23:24:17.000Z,Update - Dividend/Distribution - PCI,15KB,false,PCI,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
PCI,521342013,2924-03086210-2A1669821,2026-05-04T02:50:39.000Z,Daily Net Tangible Asset Statement,472KB,false,PCI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PCI""}]","[{""symbol"": ""PCI"", ""xid"": ""523381056"", ""ASXSecurityType"": 6, ""displayName"": ""PERPETUAL CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000041261"", ""xidEntity"": 521342013}]","[""PCI"", """"]"
