ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
RCE,235731201,2924-03106106-6A1331847,2026-06-30T23:07:09.000Z,AUD $3.7M Income Tax Refund Received,280KB,true,RCE,,"[""Progress Report"", ""Company Administration - Other""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-03104615-6A1331258,2026-06-26T08:00:49.000Z,Proposed issue of securities - RCE,21KB,false,RCE,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-03104311-6A1331147,2026-06-26T00:35:57.000Z,RCE Investor Presentation,3593KB,false,RCE,,"[""Company Presentation""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-03104301-6A1331144,2026-06-26T00:19:47.000Z,Proposed issue of securities - RCE,39KB,false,RCE,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-03104284-6A1331136,2026-06-26T00:03:42.000Z,Placement & SPP to raise $8 million,390KB,true,RCE,,"[""Placement"", ""Trading Halt Lifted"", ""Security Purchase Plan""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-03103322-6A1330774,2026-06-24T00:08:53.000Z,Trading Halt,427KB,true,RCE,,"[""Trading Halt""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-03103310-6A1330772,2026-06-23T23:54:03.000Z,Pause in Trading,112KB,true,RCE,,"[""Notice Pending""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-03102432-6A1330374,2026-06-22T00:03:10.000Z,HREC Approval Accelerates Global Phase 3 DFI Strategy,364KB,true,RCE,,"[""Progress Report""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-03094242-6A1327151,2026-05-27T03:49:24.000Z,Addendum to Recce Signs Middle East Licensing Term Sheet,285KB,true,RCE,,"[""Progress Report""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-03094138-6A1327109,2026-05-26T23:48:53.000Z,Recce Signs Middle East Licensing Term Sheet,326KB,true,RCE,,"[""Progress Report""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-03085129-6A1323431,2026-04-30T07:03:23.000Z,Quarterly Activities/Appendix 4C Cash Flow Report,878KB,true,RCE,,"[""Commitments Test Entity - Third Quarter Activity Report"", ""Commitments Test Entity - Third Quarter Cashflow Report""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-03080851-6A1321294,2026-04-21T00:52:04.000Z,Positive Regulatory Inspection Outcome for Phase 3 Trial,313KB,false,RCE,,"[""Progress Report""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-03079194-6A1320596,2026-04-15T07:28:53.000Z,Notification of cessation of securities - RCE,12KB,false,RCE,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-03071488-6A1317633,2026-03-24T00:52:41.000Z,Brazil Patent Granted for RECCE Anti-Infectives,311KB,true,RCE,,"[""Progress Report""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-03070091-6A1317101,2026-03-18T23:43:41.000Z,RCE Investor Webinar Presentation Deck,2392KB,true,RCE,,"[""Company Presentation""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-03069294-6A1316780,2026-03-17T04:00:00.000Z,RCE Investor Webinar Presentation,252KB,false,RCE,,"[""Web Cast""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-03063083-6A1314243,2026-02-27T07:02:10.000Z,Appendix 4D and Interim Financial Report,1863KB,true,RCE,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-03060472-6A1313477,2026-02-24T06:51:28.000Z,Change of Director's Interest Notices (x5),1836KB,false,RCE,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-03060437-6A1313459,2026-02-24T06:17:28.000Z,Notification of cessation of securities - RCE,12KB,false,RCE,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-03051726-6A1309940,2026-02-01T21:58:33.000Z,Recce Enters Second U.S. Department of Defense R&D Agreement,553KB,true,RCE,,"[""Progress Report""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-03051133-6A1309581,2026-01-30T02:01:35.000Z,Quarterly Activities/Appendix 4C Cash Flow Report,1035KB,true,RCE,,"[""Commitments Test Entity - Second Quarter Activity Report"", ""Commitments Test Entity - Second Quarter Cashflow Report""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-03045942-6A1307036,2026-01-13T23:37:00.000Z,AUD $5.3m R&D Rebate Received,264KB,true,RCE,,"[""Periodic Reports - Other"", ""Company Administration - Other""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-03037914-6A1303649,2025-12-15T22:48:42.000Z,RCE Awarded Advanced Overseas Finding up to A$85m,339KB,true,RCE,,"[""Periodic Reports - Other""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-03029235-6A1299584,2025-11-26T23:05:40.000Z,Hong Kong Patent Granted for RECCE Anti-Infectives,270KB,true,RCE,,"[""Progress Report""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-03028413-6A1299208,2025-11-25T22:50:31.000Z,Positive Efficacy Data for Inhaled R327 in HAP/VAP Model,560KB,true,RCE,,"[""Progress Report""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-03023388-6A1297162,2025-11-14T05:08:23.000Z,Passing of Dr Graham Melrose - Recce founder and inventor,253KB,false,RCE,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-03019282-6A1295612,2025-11-05T03:09:52.000Z,Results of Meeting,239KB,false,RCE,,"[""Results of Meeting""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-03019047-6A1295523,2025-11-04T21:58:45.000Z,AGM Presentation,1122KB,false,RCE,,"[""Company Presentation"", ""Chair's Address to Shareholders""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-03017699-6A1294882,2025-10-31T06:21:51.000Z,Quarterly Activities/Appendix 4C Cash Flow Report,895KB,true,RCE,,"[""Commitments Test Entity - First Quarter Activity Report"", ""Commitments Test Entity - First Quarter Cashflow Report""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-03007974-6A1290183,2025-10-14T07:21:49.000Z,Change of Director's Interest Notices,653KB,false,RCE,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-03004922-6A1288916,2025-10-07T21:34:20.000Z,Notification of cessation of securities - RCE,13KB,false,RCE,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-03004918-6A1288914,2025-10-07T21:33:20.000Z,Update - Notification of buy-back - RCE,15KB,false,RCE,,"[""Final Buy-Back Notice""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-03004669-6A1288799,2025-10-07T05:41:19.000Z,Update - Notification of buy-back - RCE,14KB,false,RCE,,"[""Selective Buy-Back""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-03003261-6A1288208,2025-10-03T01:54:16.000Z,Notice of Annual General Meeting/Proxy Form,1068KB,false,RCE,,"[""Web Cast"", ""Notice of Annual General Meeting"", ""Proxy Form"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-02998200-6A1285870,2025-09-24T23:49:52.000Z,Patient Dosing Underway in Ph 3 Indonesia DFI Trial,263KB,true,RCE,,"[""Progress Report""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-02993599-6A1283923,2025-09-15T06:46:33.000Z,2025 Annual General Meeting,203KB,false,RCE,,"[""Notice of Meeting - Other"", ""Company Administration - Other""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-02987230-6A1281304,2025-08-29T09:29:55.000Z,Appendix 4G,340KB,false,RCE,,"[""Appendix 4G""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-02987229-6A1281302,2025-08-29T09:29:30.000Z,Annual Report to Shareholders,8865KB,false,RCE,,"[""Corporate Governance"", ""Annual Report"", ""Top 20 shareholders"", ""Full Year Accounts"", ""Full Year Audit Review"", ""Full Year Directors' Statement"", ""Full Year Directors' Report""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-02987228-6A1281301,2025-08-29T09:27:55.000Z,Preliminary Final Report,97KB,true,RCE,,"[""Preliminary Final Report""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-02983241-6A1279960,2025-08-25T09:24:06.000Z,Notification regarding unquoted securities - RCE,17KB,false,RCE,,"[""Appendix 3G""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-02977613-6A1277958,2025-08-12T00:53:16.000Z,R327G Highly Effective in Burn Wounds Model,740KB,true,RCE,,"[""Progress Report""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-02975158-6A1276901,2025-08-04T23:44:30.000Z,Abstract & Poster Presentation at US Military Symposium 2025,868KB,false,RCE,,"[""Company Presentation""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-02973826-6A1276272,2025-07-31T08:18:26.000Z,Quarterly Activities/Appendix 4C Cash Flow Report,801KB,true,RCE,,"[""Commitments Test Entity - Fourth Quarter Activity Report"", ""Commitments Test Entity - Fourth Quarter Cashflow Report""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-02970409-6A1274473,2025-07-23T23:05:36.000Z,Change in substantial holding,781KB,false,RCE,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-02967427-6A1272981,2025-07-14T08:10:10.000Z,Cleansing Notice,274KB,false,RCE,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-02967421-6A1272980,2025-07-14T07:57:50.000Z,Application for quotation of securities - RCE,16KB,false,RCE,,"[""Appendix 2A""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-02957444-6A1268871,2025-06-17T00:53:34.000Z,Proposed issue of securities - RCE,18KB,false,RCE,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-02957438-6A1268868,2025-06-17T00:29:14.000Z,Recce Signs Debt Facility with Avenue Capital Group,310KB,true,RCE,,"[""Debt Facility""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-02956078-6A1268313,2025-06-12T04:02:05.000Z,Change in substantial holding,174KB,false,RCE,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
RCE,235731201,2924-02955573-6A1268127,2025-06-10T23:42:40.000Z,Change in substantial holding,543KB,false,RCE,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""RCE""}]","[{""symbol"": ""RCE"", ""xid"": ""324635999"", ""ASXSecurityType"": 1, ""displayName"": ""RECCE PHARMACEUTICALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000RCE5"", ""xidEntity"": 235731201}]","[""RCE"", """"]"
