ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
SLD,1028554759,2924-03106222-2A1681138,2026-06-30T23:57:10.000Z,Notification regarding unquoted securities - SLD,18KB,false,SLD,,"[""Appendix 3G""]","[{""symbolDisplay"": ""SLD""}]","[{""symbol"": ""SLD"", ""xid"": ""1028545180"", ""ASXSecurityType"": 1, ""displayName"": ""SALUDA MEDICAL, INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000432114"", ""xidEntity"": 1028554759, ""sector"": ""Health Care"", ""industryGroup"": ""Health Care Equipment & Services"", ""industry"": ""Health Care Equipment & Supplies"", ""subIndustry"": ""Health Care Equipment""}]","[""SLD"", """"]"
SLD,1028554759,2924-03106176-2A1681080,2026-06-30T23:32:29.000Z,SLD Draws US$25m Second Tranche of Credit Facility,156KB,false,SLD,,"[""Debt Facility""]","[{""symbolDisplay"": ""SLD""}]","[{""symbol"": ""SLD"", ""xid"": ""1028545180"", ""ASXSecurityType"": 1, ""displayName"": ""SALUDA MEDICAL, INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000432114"", ""xidEntity"": 1028554759, ""sector"": ""Health Care"", ""industryGroup"": ""Health Care Equipment & Services"", ""industry"": ""Health Care Equipment & Supplies"", ""subIndustry"": ""Health Care Equipment""}]","[""SLD"", """"]"
SLD,1028554759,2924-03105419-2A1680480,2026-06-29T23:29:40.000Z,SLD Receives FDA Approval for CAP24 Surgical Paddle Lead,107KB,true,SLD,,"[""Progress Report""]","[{""symbolDisplay"": ""SLD""}]","[{""symbol"": ""SLD"", ""xid"": ""1028545180"", ""ASXSecurityType"": 1, ""displayName"": ""SALUDA MEDICAL, INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000432114"", ""xidEntity"": 1028554759, ""sector"": ""Health Care"", ""industryGroup"": ""Health Care Equipment & Services"", ""industry"": ""Health Care Equipment & Supplies"", ""subIndustry"": ""Health Care Equipment""}]","[""SLD"", """"]"
SLD,1028554759,2924-03090487-2A1672247,2026-05-15T00:33:57.000Z,ASIC Approval of Financial Reporting Relief for Subsidiary,124KB,false,SLD,,"[""Periodic Reports - Other"", ""Company Administration - Other""]","[{""symbolDisplay"": ""SLD""}]","[{""symbol"": ""SLD"", ""xid"": ""1028545180"", ""ASXSecurityType"": 1, ""displayName"": ""SALUDA MEDICAL, INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000432114"", ""xidEntity"": 1028554759, ""sector"": ""Health Care"", ""industryGroup"": ""Health Care Equipment & Services"", ""industry"": ""Health Care Equipment & Supplies"", ""subIndustry"": ""Health Care Equipment""}]","[""SLD"", """"]"
SLD,1028554759,2924-03084228-2A1668913,2026-04-29T22:17:20.000Z,Quarterly Activities/Appendix 4C Cash Flow Report,405KB,true,SLD,,"[""Commitments Test Entity - Third Quarter Activity Report"", ""Web Cast"", ""Commitments Test Entity - Third Quarter Cashflow Report""]","[{""symbolDisplay"": ""SLD""}]","[{""symbol"": ""SLD"", ""xid"": ""1028545180"", ""ASXSecurityType"": 1, ""displayName"": ""SALUDA MEDICAL, INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000432114"", ""xidEntity"": 1028554759, ""sector"": ""Health Care"", ""industryGroup"": ""Health Care Equipment & Services"", ""industry"": ""Health Care Equipment & Supplies"", ""subIndustry"": ""Health Care Equipment""}]","[""SLD"", """"]"
SLD,1028554759,2924-03077402-2A1665634,2026-04-09T22:25:10.000Z,Notification of cessation of securities - SLD,13KB,false,SLD,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""SLD""}]","[{""symbol"": ""SLD"", ""xid"": ""1028545180"", ""ASXSecurityType"": 1, ""displayName"": ""SALUDA MEDICAL, INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000432114"", ""xidEntity"": 1028554759, ""sector"": ""Health Care"", ""industryGroup"": ""Health Care Equipment & Services"", ""industry"": ""Health Care Equipment & Supplies"", ""subIndustry"": ""Health Care Equipment""}]","[""SLD"", """"]"
SLD,1028554759,2924-03077401-2A1665633,2026-04-09T22:25:05.000Z,Notification regarding unquoted securities - SLD,17KB,false,SLD,,"[""Appendix 3G""]","[{""symbolDisplay"": ""SLD""}]","[{""symbol"": ""SLD"", ""xid"": ""1028545180"", ""ASXSecurityType"": 1, ""displayName"": ""SALUDA MEDICAL, INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000432114"", ""xidEntity"": 1028554759, ""sector"": ""Health Care"", ""industryGroup"": ""Health Care Equipment & Services"", ""industry"": ""Health Care Equipment & Supplies"", ""subIndustry"": ""Health Care Equipment""}]","[""SLD"", """"]"
SLD,1028554759,2924-03066645_PS-3A689144,2026-03-10T06:28:33.000Z,Update - S&P DJI March 2026 Rebalance of the All Ordinaries,148KB,true,4DX,,"[""Standard and Poor's Announcement""]","[{""symbolDisplay"": ""4DX""}, {""symbolDisplay"": ""A1G""}, {""symbolDisplay"": ""CEH""}, {""symbolDisplay"": ""ACE""}, {""symbolDisplay"": ""SSG""}, {""symbolDisplay"": ""ATR""}, {""symbolDisplay"": ""ANG""}, {""symbolDisplay"": ""CYM""}, {""symbolDisplay"": ""AQZ""}, {""symbolDisplay"": ""A1N""}, {""symbolDisplay"": ""AYA""}, {""symbolDisplay"": ""CAA""}, {""symbolDisplay"": ""ARR""}, {""symbolDisplay"": ""BCN""}, {""symbolDisplay"": ""GLF""}, {""symbolDisplay"": ""SS1""}, {""symbolDisplay"": ""AQI""}, {""symbolDisplay"": ""SPD""}, {""symbolDisplay"": ""CTT""}, {""symbolDisplay"": ""NMR""}, {""symbolDisplay"": ""PLT""}, {""symbolDisplay"": ""SLD""}, {""symbolDisplay"": ""HRZ""}, {""symbolDisplay"": ""CXL""}, {""symbolDisplay"": ""NZM""}, {""symbolDisplay"": ""LIN""}, {""symbolDisplay"": ""LKE""}, {""symbolDisplay"": ""NDO""}, {""symbolDisplay"": ""VGL""}, {""symbolDisplay"": ""MYG""}, {""symbolDisplay"": ""TGM""}, {""symbolDisplay"": ""EQR""}, {""symbolDisplay"": ""SRL""}, {""symbolDisplay"": ""HCH""}, {""symbolDisplay"": ""PRG""}, {""symbolDisplay"": ""COI""}, {""symbolDisplay"": ""TGN""}, {""symbolDisplay"": ""AIH""}, {""symbolDisplay"": ""TRE""}, {""symbolDisplay"": ""CVN""}, {""symbolDisplay"": ""TOK""}, {""symbolDisplay"": ""TTM""}, {""symbolDisplay"": ""CUP""}, {""symbolDisplay"": ""IKE""}, {""symbolDisplay"": ""EMV""}, {""symbolDisplay"": ""OMH""}, {""symbolDisplay"": ""PEN""}, {""symbolDisplay"": ""EUR""}, {""symbolDisplay"": ""GLN""}, {""symbolDisplay"": ""NVA""}, {""symbolDisplay"": ""FRS""}, {""symbolDisplay"": ""RNU""}, {""symbolDisplay"": ""EGH""}, {""symbolDisplay"": ""EIQ""}, {""symbolDisplay"": ""SGQ""}, {""symbolDisplay"": ""TLG""}, {""symbolDisplay"": ""SXL""}, {""symbolDisplay"": ""MTO""}, {""symbolDisplay"": ""URF""}, {""symbolDisplay"": ""FND""}, {""symbolDisplay"": ""DPM""}, {""symbolDisplay"": ""WAT""}, {""symbolDisplay"": ""WWI""}, {""symbolDisplay"": ""QGL""}, {""symbolDisplay"": ""FML""}, {""symbolDisplay"": ""OFX""}, {""symbolDisplay"": ""ETM""}, {""symbolDisplay"": ""IFN""}, {""symbolDisplay"": ""BNZ""}, {""symbolDisplay"": ""3PL""}, {""symbolDisplay"": ""MHJ""}, {""symbolDisplay"": ""USL""}, {""symbolDisplay"": ""BML""}, {""symbolDisplay"": ""AIZ""}, {""symbolDisplay"": ""BRL""}, {""symbolDisplay"": ""MC2""}, {""symbolDisplay"": ""CMA""}]","[{""symbol"": ""4DX"", ""xid"": ""608309060"", ""ASXSecurityType"": 1, ""displayName"": ""4DMEDICAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000095416"", ""xidEntity"": 608070259, ""sector"": ""Health Care"", ""industryGroup"": ""Health Care Equipment & Services"", ""industry"": ""Health Care Technology"", ""subIndustry"": ""Health Care Technology""}]","[""4DX"", ""A1G"", ""CEH"", ""ACE"", ""SSG"", ""ATR"", ""ANG"", ""CYM"", ""AQZ"", ""A1N"", ""AYA"", ""CAA"", ""ARR"", ""BCN"", ""GLF"", ""SS1"", ""AQI"", ""SPD"", ""CTT"", ""NMR"", ""PLT"", ""SLD"", ""HRZ"", ""CXL"", ""NZM"", ""LIN"", ""LKE"", ""NDO"", ""VGL"", ""MYG"", ""TGM"", ""EQR"", ""SRL"", ""HCH"", ""PRG"", ""COI"", ""TGN"", ""AIH"", ""TRE"", ""CVN"", ""TOK"", ""TTM"", ""CUP"", ""IKE"", ""EMV"", ""OMH"", ""PEN"", ""EUR"", ""GLN"", ""NVA"", ""FRS"", ""RNU"", ""EGH"", ""EIQ"", ""SGQ"", ""TLG"", ""SXL"", ""MTO"", ""URF"", ""FND"", ""DPM"", ""WAT"", ""WWI"", ""QGL"", ""FML"", ""OFX"", ""ETM"", ""IFN"", ""BNZ"", ""3PL"", ""MHJ"", ""USL"", ""BML"", ""AIZ"", ""BRL"", ""MC2"", ""CMA"", """"]"
SLD,1028554759,2924-03065624_PS-6A1315175,2026-03-06T06:05:20.000Z,S&P DJI Announces March 2026 Quarterly Rebalance,176KB,true,NST,,"[""Standard and Poor's Announcement""]","[{""symbolDisplay"": ""NST""}, {""symbolDisplay"": ""A1G""}, {""symbolDisplay"": ""CEH""}, {""symbolDisplay"": ""ACE""}, {""symbolDisplay"": ""SSG""}, {""symbolDisplay"": ""ATR""}, {""symbolDisplay"": ""ANG""}, {""symbolDisplay"": ""CYM""}, {""symbolDisplay"": ""AQZ""}, {""symbolDisplay"": ""A1N""}, {""symbolDisplay"": ""ARU""}, {""symbolDisplay"": ""AYA""}, {""symbolDisplay"": ""BOT""}, {""symbolDisplay"": ""CAA""}, {""symbolDisplay"": ""ARR""}, {""symbolDisplay"": ""BRN""}, {""symbolDisplay"": ""BCN""}, {""symbolDisplay"": ""GLF""}, {""symbolDisplay"": ""GGP""}, {""symbolDisplay"": ""SS1""}, {""symbolDisplay"": ""AQI""}, {""symbolDisplay"": ""SPD""}, {""symbolDisplay"": ""CTT""}, {""symbolDisplay"": ""NXL""}, {""symbolDisplay"": ""VUL""}, {""symbolDisplay"": ""NMR""}, {""symbolDisplay"": ""MI6""}, {""symbolDisplay"": ""PLT""}, {""symbolDisplay"": ""SLD""}, {""symbolDisplay"": ""MEK""}, {""symbolDisplay"": ""HRZ""}, {""symbolDisplay"": ""NWL""}, {""symbolDisplay"": ""CXL""}, {""symbolDisplay"": ""NZM""}, {""symbolDisplay"": ""LIN""}, {""symbolDisplay"": ""LKE""}, {""symbolDisplay"": ""LLC""}, {""symbolDisplay"": ""MAH""}, {""symbolDisplay"": ""NDO""}, {""symbolDisplay"": ""VGL""}, {""symbolDisplay"": ""MYG""}, {""symbolDisplay"": ""MLX""}, {""symbolDisplay"": ""SMI""}, {""symbolDisplay"": ""TGM""}, {""symbolDisplay"": ""DGT""}, {""symbolDisplay"": ""ADH""}, {""symbolDisplay"": ""EQR""}, {""symbolDisplay"": ""SRL""}, {""symbolDisplay"": ""HCH""}, {""symbolDisplay"": ""PRG""}, {""symbolDisplay"": ""COI""}, {""symbolDisplay"": ""DTR""}, {""symbolDisplay"": ""TGN""}, {""symbolDisplay"": ""LNW""}, {""symbolDisplay"": ""AIH""}, {""symbolDisplay"": ""TCG""}, {""symbolDisplay"": ""TRE""}, {""symbolDisplay"": ""CVN""}, {""symbolDisplay"": ""TOK""}, {""symbolDisplay"": ""COF""}, {""symbolDisplay"": ""TTM""}, {""symbolDisplay"": ""CUP""}, {""symbolDisplay"": ""MYX""}, {""symbolDisplay"": ""IKE""}, {""symbolDisplay"": ""EMV""}, {""symbolDisplay"": ""OMH""}, {""symbolDisplay"": ""PDI""}, {""symbolDisplay"": ""PEN""}, {""symbolDisplay"": ""PLS""}, {""symbolDisplay"": ""EUR""}, {""symbolDisplay"": ""GLN""}, {""symbolDisplay"": ""NVA""}, {""symbolDisplay"": ""L1G""}, {""symbolDisplay"": ""FRS""}, {""symbolDisplay"": ""KYP""}, {""symbolDisplay"": ""RNU""}, {""symbolDisplay"": ""AX1""}, {""symbolDisplay"": ""RRL""}, {""symbolDisplay"": ""EGH""}, {""symbolDisplay"": ""EIQ""}, {""symbolDisplay"": ""SBM""}, {""symbolDisplay"": ""SGQ""}, {""symbolDisplay"": ""SEK""}, {""symbolDisplay"": ""STO""}, {""symbolDisplay"": ""STX""}, {""symbolDisplay"": ""TNE""}, {""symbolDisplay"": ""TLG""}, {""symbolDisplay"": ""SXL""}, {""symbolDisplay"": ""MTO""}, {""symbolDisplay"": ""URF""}, {""symbolDisplay"": ""FND""}, {""symbolDisplay"": ""PNI""}, {""symbolDisplay"": ""DPM""}, {""symbolDisplay"": ""WAT""}, {""symbolDisplay"": ""WWI""}, {""symbolDisplay"": ""QGL""}, {""symbolDisplay"": ""EBO""}, {""symbolDisplay"": ""FML""}, {""symbolDisplay"": ""OFX""}, {""symbolDisplay"": ""ETM""}, {""symbolDisplay"": ""SRG""}, {""symbolDisplay"": ""IFN""}, {""symbolDisplay"": ""BNZ""}, {""symbolDisplay"": ""3PL""}, {""symbolDisplay"": ""WGX""}, {""symbolDisplay"": ""MHJ""}, {""symbolDisplay"": ""USL""}, {""symbolDisplay"": ""ELV""}, {""symbolDisplay"": ""AD8""}, {""symbolDisplay"": ""CAT""}, {""symbolDisplay"": ""ELS""}, {""symbolDisplay"": ""BML""}, {""symbolDisplay"": ""AIZ""}, {""symbolDisplay"": ""4DX""}, {""symbolDisplay"": ""BRL""}, {""symbolDisplay"": ""MC2""}, {""symbolDisplay"": ""CMA""}]",[],"[""NST"", ""A1G"", ""CEH"", ""ACE"", ""SSG"", ""ATR"", ""ANG"", ""CYM"", ""AQZ"", ""A1N"", ""ARU"", ""AYA"", ""BOT"", ""CAA"", ""ARR"", ""BRN"", ""BCN"", ""GLF"", ""GGP"", ""SS1"", ""AQI"", ""SPD"", ""CTT"", ""NXL"", ""VUL"", ""NMR"", ""MI6"", ""PLT"", ""SLD"", ""MEK"", ""HRZ"", ""NWL"", ""CXL"", ""NZM"", ""LIN"", ""LKE"", ""LLC"", ""MAH"", ""NDO"", ""VGL"", ""MYG"", ""MLX"", ""SMI"", ""TGM"", ""DGT"", ""ADH"", ""EQR"", ""SRL"", ""HCH"", ""PRG"", ""COI"", ""DTR"", ""TGN"", ""LNW"", ""AIH"", ""TCG"", ""TRE"", ""CVN"", ""TOK"", ""COF"", ""TTM"", ""CUP"", ""MYX"", ""IKE"", ""EMV"", ""OMH"", ""PDI"", ""PEN"", ""PLS"", ""EUR"", ""GLN"", ""NVA"", ""L1G"", ""FRS"", ""KYP"", ""RNU"", ""AX1"", ""RRL"", ""EGH"", ""EIQ"", ""SBM"", ""SGQ"", ""SEK"", ""STO"", ""STX"", ""TNE"", ""TLG"", ""SXL"", ""MTO"", ""URF"", ""FND"", ""PNI"", ""DPM"", ""WAT"", ""WWI"", ""QGL"", ""EBO"", ""FML"", ""OFX"", ""ETM"", ""SRG"", ""IFN"", ""BNZ"", ""3PL"", ""WGX"", ""MHJ"", ""USL"", ""ELV"", ""AD8"", ""CAT"", ""ELS"", ""BML"", ""AIZ"", ""4DX"", ""BRL"", ""MC2"", ""CMA"", """"]"
SLD,1028554759,2924-03061701-2A1656284,2026-02-25T22:24:38.000Z,H1 FY2026 Results Announcement,172KB,true,SLD,,"[""Web Cast"", ""Half Yearly Report""]","[{""symbolDisplay"": ""SLD""}]","[{""symbol"": ""SLD"", ""xid"": ""1028545180"", ""ASXSecurityType"": 1, ""displayName"": ""SALUDA MEDICAL, INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000432114"", ""xidEntity"": 1028554759, ""sector"": ""Health Care"", ""industryGroup"": ""Health Care Equipment & Services"", ""industry"": ""Health Care Equipment & Supplies"", ""subIndustry"": ""Health Care Equipment""}]","[""SLD"", """"]"
