ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
TBR,204100483,2924-03090699-6A1325734,2026-05-15T08:54:25.000Z,Change of Director's Interest Notice,294KB,false,TBR,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""TBR""}]","[{""symbol"": ""TBR"", ""xid"": ""265607"", ""ASXSecurityType"": 1, ""displayName"": ""TRIBUNE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TBR5"", ""xidEntity"": 204100483, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""TBR"", """"]"
TBR,204100483,2924-03090694-6A1325731,2026-05-15T08:44:35.000Z,Change in substantial holding,8897KB,false,TBR,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""TBR""}]","[{""symbol"": ""TBR"", ""xid"": ""265607"", ""ASXSecurityType"": 1, ""displayName"": ""TRIBUNE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TBR5"", ""xidEntity"": 204100483, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""TBR"", """"]"
TBR,204100483,2924-03087051-6A1324267,2026-05-05T22:57:46.000Z,On Market Share Buyback,132KB,true,TBR,,"[""Market Buy-Back""]","[{""symbolDisplay"": ""TBR""}]","[{""symbol"": ""TBR"", ""xid"": ""265607"", ""ASXSecurityType"": 1, ""displayName"": ""TRIBUNE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TBR5"", ""xidEntity"": 204100483, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""TBR"", """"]"
TBR,204100483,2924-03087038-6A1324262,2026-05-05T22:53:16.000Z,Notification of buy-back - TBR,12KB,true,TBR,,"[""Market Buy-Back""]","[{""symbolDisplay"": ""TBR""}]","[{""symbol"": ""TBR"", ""xid"": ""265607"", ""ASXSecurityType"": 1, ""displayName"": ""TRIBUNE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TBR5"", ""xidEntity"": 204100483, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""TBR"", """"]"
TBR,204100483,2924-03083845-6A1322722,2026-04-29T01:54:58.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,1292KB,true,TBR,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""TBR""}]","[{""symbol"": ""TBR"", ""xid"": ""265607"", ""ASXSecurityType"": 1, ""displayName"": ""TRIBUNE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TBR5"", ""xidEntity"": 204100483, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""TBR"", """"]"
TBR,204100483,2924-03080905-6A1321317,2026-04-21T03:09:10.000Z,FY2026 Quarter 3 EKJV Exploration Report,1835KB,true,TBR,,"[""Progress Report""]","[{""symbolDisplay"": ""TBR""}]","[{""symbol"": ""TBR"", ""xid"": ""265607"", ""ASXSecurityType"": 1, ""displayName"": ""TRIBUNE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TBR5"", ""xidEntity"": 204100483, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""TBR"", """"]"
TBR,204100483,2924-03068082-6A1316259,2026-03-13T04:49:34.000Z,Half Year Report and Accounts,2732KB,false,TBR,,"[""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""TBR""}]","[{""symbol"": ""TBR"", ""xid"": ""265607"", ""ASXSecurityType"": 1, ""displayName"": ""TRIBUNE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TBR5"", ""xidEntity"": 204100483, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""TBR"", """"]"
TBR,204100483,2924-03049728-6A1308804,2026-01-28T04:38:25.000Z,Quarterly Activities & Cashflow Report - December 2025,949KB,true,TBR,,"[""Second Quarter Activities Report"", ""Second Quarter Cash Flow Report""]","[{""symbolDisplay"": ""TBR""}]","[{""symbol"": ""TBR"", ""xid"": ""265607"", ""ASXSecurityType"": 1, ""displayName"": ""TRIBUNE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TBR5"", ""xidEntity"": 204100483, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""TBR"", """"]"
TBR,204100483,2924-03046149-6A1307110,2026-01-14T07:57:33.000Z,FY2026 Quarter 2 EKJV Exploration Report,1168KB,true,TBR,,"[""Progress Report""]","[{""symbolDisplay"": ""TBR""}]","[{""symbol"": ""TBR"", ""xid"": ""265607"", ""ASXSecurityType"": 1, ""displayName"": ""TRIBUNE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TBR5"", ""xidEntity"": 204100483, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""TBR"", """"]"
TBR,204100483,2924-03035857-6A1302700,2025-12-10T06:42:33.000Z,Replacement FY2026 Quarter 1 EKJV Exploration Report,598KB,true,TBR,,"[""Progress Report"", ""Company Administration - Other""]","[{""symbolDisplay"": ""TBR""}]","[{""symbol"": ""TBR"", ""xid"": ""265607"", ""ASXSecurityType"": 1, ""displayName"": ""TRIBUNE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TBR5"", ""xidEntity"": 204100483, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""TBR"", """"]"
TBR,204100483,2924-03034197-6A1301934,2025-12-07T21:18:23.000Z,Appointment of Joint Company Secretary,253KB,false,TBR,,"[""Company Secretary Appointment/Resignation""]","[{""symbolDisplay"": ""TBR""}]","[{""symbol"": ""TBR"", ""xid"": ""265607"", ""ASXSecurityType"": 1, ""displayName"": ""TRIBUNE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TBR5"", ""xidEntity"": 204100483, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""TBR"", """"]"
TBR,204100483,2924-03030138-6A1299976,2025-11-28T01:23:43.000Z,Resignation of Company Secretary,127KB,false,TBR,,"[""Company Secretary Appointment/Resignation""]","[{""symbolDisplay"": ""TBR""}]","[{""symbol"": ""TBR"", ""xid"": ""265607"", ""ASXSecurityType"": 1, ""displayName"": ""TRIBUNE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TBR5"", ""xidEntity"": 204100483, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""TBR"", """"]"
TBR,204100483,2924-03030128-6A1299971,2025-11-28T01:16:23.000Z,Results of Annual General Meeting,217KB,false,TBR,,"[""Results of Meeting""]","[{""symbolDisplay"": ""TBR""}]","[{""symbol"": ""TBR"", ""xid"": ""265607"", ""ASXSecurityType"": 1, ""displayName"": ""TRIBUNE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TBR5"", ""xidEntity"": 204100483, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""TBR"", """"]"
TBR,204100483,2924-03015600-6A1293902,2025-10-29T01:40:10.000Z,Dividend/Distribution - TBR,13KB,false,TBR,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""TBR""}]","[{""symbol"": ""TBR"", ""xid"": ""265607"", ""ASXSecurityType"": 1, ""displayName"": ""TRIBUNE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TBR5"", ""xidEntity"": 204100483, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""TBR"", """"]"
TBR,204100483,2924-03015599-6A1293904,2025-10-29T01:39:55.000Z,Tribune Declares a 20 cents per share Dividend,130KB,true,TBR,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""TBR""}]","[{""symbol"": ""TBR"", ""xid"": ""265607"", ""ASXSecurityType"": 1, ""displayName"": ""TRIBUNE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TBR5"", ""xidEntity"": 204100483, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""TBR"", """"]"
TBR,204100483,2924-03015595-6A1293901,2025-10-29T01:34:40.000Z,Quarterly Activities & Cashflow Report - September 2025,1972KB,true,TBR,,"[""First Quarter Activities Report"", ""First Quarter Cash Flow Report""]","[{""symbolDisplay"": ""TBR""}]","[{""symbol"": ""TBR"", ""xid"": ""265607"", ""ASXSecurityType"": 1, ""displayName"": ""TRIBUNE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TBR5"", ""xidEntity"": 204100483, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""TBR"", """"]"
TBR,204100483,2924-03014786-6A1293463,2025-10-28T02:24:46.000Z,Letter to Shareholders & Notice of AGM & Proxy Form,610KB,false,TBR,,"[""Notice of Annual General Meeting"", ""Proxy Form"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""TBR""}]","[{""symbol"": ""TBR"", ""xid"": ""265607"", ""ASXSecurityType"": 1, ""displayName"": ""TRIBUNE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TBR5"", ""xidEntity"": 204100483, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""TBR"", """"]"
TBR,204100483,2924-03013161-6A1292618,2025-10-24T02:02:34.000Z,FY2026 Quarter 1 EKJV Exploration Report,633KB,true,TBR,,"[""Progress Report""]","[{""symbolDisplay"": ""TBR""}]","[{""symbol"": ""TBR"", ""xid"": ""265607"", ""ASXSecurityType"": 1, ""displayName"": ""TRIBUNE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TBR5"", ""xidEntity"": 204100483, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""TBR"", """"]"
TBR,204100483,2924-03003799-6A1288423,2025-10-05T22:02:36.000Z,Date of AGM and Deadline for Director Nominations,129KB,false,TBR,,"[""Notice of Meeting - Other""]","[{""symbolDisplay"": ""TBR""}]","[{""symbol"": ""TBR"", ""xid"": ""265607"", ""ASXSecurityType"": 1, ""displayName"": ""TRIBUNE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TBR5"", ""xidEntity"": 204100483, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""TBR"", """"]"
TBR,204100483,2924-02999405-6A1286419,2025-09-26T08:08:09.000Z,Appendix 4G,264KB,false,TBR,,"[""Appendix 4G""]","[{""symbolDisplay"": ""TBR""}]","[{""symbol"": ""TBR"", ""xid"": ""265607"", ""ASXSecurityType"": 1, ""displayName"": ""TRIBUNE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TBR5"", ""xidEntity"": 204100483, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""TBR"", """"]"
TBR,204100483,2924-02999404-6A1286414,2025-09-26T08:07:59.000Z,Corporate Governance Statement,336KB,false,TBR,,"[""Corporate Governance""]","[{""symbolDisplay"": ""TBR""}]","[{""symbol"": ""TBR"", ""xid"": ""265607"", ""ASXSecurityType"": 1, ""displayName"": ""TRIBUNE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TBR5"", ""xidEntity"": 204100483, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""TBR"", """"]"
TBR,204100483,2924-02999403-6A1286412,2025-09-26T08:07:54.000Z,Annual Report to shareholders,5004KB,false,TBR,,"[""Annual Report"", ""Top 20 shareholders"", ""Full Year Accounts"", ""Full Year Audit Review"", ""Full Year Directors' Statement"", ""Full Year Directors' Report""]","[{""symbolDisplay"": ""TBR""}]","[{""symbol"": ""TBR"", ""xid"": ""265607"", ""ASXSecurityType"": 1, ""displayName"": ""TRIBUNE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TBR5"", ""xidEntity"": 204100483, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""TBR"", """"]"
TBR,204100483,2924-02972865-6A1275713,2025-07-30T07:23:48.000Z,EKJV Mineral Resource and Ore Reserve Statement,3082KB,false,TBR,,"[""Progress Report""]","[{""symbolDisplay"": ""TBR""}]","[{""symbol"": ""TBR"", ""xid"": ""265607"", ""ASXSecurityType"": 1, ""displayName"": ""TRIBUNE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TBR5"", ""xidEntity"": 204100483, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""TBR"", """"]"
TBR,204100483,2924-02972189-6A1275377,2025-07-29T06:31:30.000Z,Quarterly Activities & Cashflow Report - June 2025,1968KB,true,TBR,,"[""Fourth Quarter Activities Report"", ""Fourth Quarter Cash Flow Report""]","[{""symbolDisplay"": ""TBR""}]","[{""symbol"": ""TBR"", ""xid"": ""265607"", ""ASXSecurityType"": 1, ""displayName"": ""TRIBUNE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TBR5"", ""xidEntity"": 204100483, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""TBR"", """"]"
TBR,204100483,2924-02972186-6A1275376,2025-07-29T06:27:50.000Z,EKJV Exploration Report FY2025 Quarter 4,2197KB,true,TBR,,"[""Progress Report""]","[{""symbolDisplay"": ""TBR""}]","[{""symbol"": ""TBR"", ""xid"": ""265607"", ""ASXSecurityType"": 1, ""displayName"": ""TRIBUNE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TBR5"", ""xidEntity"": 204100483, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""TBR"", """"]"
TBR,204100483,2924-02953186-6A1267143,2025-06-03T05:09:32.000Z,Notification of cessation of securities - TBR,12KB,false,TBR,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""TBR""}]","[{""symbol"": ""TBR"", ""xid"": ""265607"", ""ASXSecurityType"": 1, ""displayName"": ""TRIBUNE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TBR5"", ""xidEntity"": 204100483, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""TBR"", """"]"
TBR,204100483,2924-02940555-6A1262009,2025-04-29T03:43:43.000Z,Quarterly Activities & Cashflow Report - March 2025,1538KB,true,TBR,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""TBR""}]","[{""symbol"": ""TBR"", ""xid"": ""265607"", ""ASXSecurityType"": 1, ""displayName"": ""TRIBUNE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TBR5"", ""xidEntity"": 204100483, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""TBR"", """"]"
TBR,204100483,2924-02924456-6A1255483,2025-03-13T05:01:47.000Z,Half Yearly Report and Accounts,2221KB,false,TBR,,"[""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""TBR""}]","[{""symbol"": ""TBR"", ""xid"": ""265607"", ""ASXSecurityType"": 1, ""displayName"": ""TRIBUNE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TBR5"", ""xidEntity"": 204100483, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""TBR"", """"]"
TBR,204100483,2924-02922527_PS-3A663679,2025-03-07T06:01:18.000Z,S&P DJI Announces March 2025 Quarterly Rebalance,174KB,true,PME,,"[""Standard and Poor's Announcement""]","[{""symbolDisplay"": ""PME""}, {""symbolDisplay"": ""AGY""}, {""symbolDisplay"": ""360""}, {""symbolDisplay"": ""PGH""}, {""symbolDisplay"": ""SSG""}, {""symbolDisplay"": ""AMA""}, {""symbolDisplay"": ""ARU""}, {""symbolDisplay"": ""ASM""}, {""symbolDisplay"": ""3DA""}, {""symbolDisplay"": ""BCB""}, {""symbolDisplay"": ""BOC""}, {""symbolDisplay"": ""BOT""}, {""symbolDisplay"": ""CAY""}, {""symbolDisplay"": ""CAA""}, {""symbolDisplay"": ""GL1""}, {""symbolDisplay"": ""VIT""}, {""symbolDisplay"": ""BBT""}, {""symbolDisplay"": ""BRE""}, {""symbolDisplay"": ""BIS""}, {""symbolDisplay"": ""WIA""}, {""symbolDisplay"": ""BC8""}, {""symbolDisplay"": ""BWN""}, {""symbolDisplay"": ""CCL""}, {""symbolDisplay"": ""HPG""}, {""symbolDisplay"": ""CSC""}, {""symbolDisplay"": ""A1M""}, {""symbolDisplay"": ""IMD""}, {""symbolDisplay"": ""ILU""}, {""symbolDisplay"": ""NXL""}, {""symbolDisplay"": ""IMU""}, {""symbolDisplay"": ""LRV""}, {""symbolDisplay"": ""FDV""}, {""symbolDisplay"": ""BRI""}, {""symbolDisplay"": ""KMD""}, {""symbolDisplay"": ""MEK""}, {""symbolDisplay"": ""IPD""}, {""symbolDisplay"": ""CVL""}, {""symbolDisplay"": ""ASL""}, {""symbolDisplay"": ""DGL""}, {""symbolDisplay"": ""BDM""}, {""symbolDisplay"": ""CRN""}, {""symbolDisplay"": ""SX2""}, {""symbolDisplay"": ""LIN""}, {""symbolDisplay"": ""LKE""}, {""symbolDisplay"": ""VGL""}, {""symbolDisplay"": ""WC8""}, {""symbolDisplay"": ""MAY""}, {""symbolDisplay"": ""MAQ""}, {""symbolDisplay"": ""MEI""}, {""symbolDisplay"": ""TPW""}, {""symbolDisplay"": ""DLI""}, {""symbolDisplay"": ""SMI""}, {""symbolDisplay"": ""VYS""}, {""symbolDisplay"": ""MIN""}, {""symbolDisplay"": ""DGT""}, {""symbolDisplay"": ""SYL""}, {""symbolDisplay"": ""SSR""}, {""symbolDisplay"": ""TEA""}, {""symbolDisplay"": ""SHA""}, {""symbolDisplay"": ""TTT""}, {""symbolDisplay"": ""VEE""}, {""symbolDisplay"": ""CKF""}, {""symbolDisplay"": ""PRG""}, {""symbolDisplay"": ""TER""}, {""symbolDisplay"": ""CRD""}, {""symbolDisplay"": ""IR1""}, {""symbolDisplay"": ""PAR""}, {""symbolDisplay"": ""ONE""}, {""symbolDisplay"": ""TCG""}, {""symbolDisplay"": ""THL""}, {""symbolDisplay"": ""MYR""}, {""symbolDisplay"": ""MMI""}, {""symbolDisplay"": ""SPG""}, {""symbolDisplay"": ""ASN""}, {""symbolDisplay"": ""NXD""}, {""symbolDisplay"": ""CYL""}, {""symbolDisplay"": ""NHF""}, {""symbolDisplay"": ""EMV""}, {""symbolDisplay"": ""WJL""}, {""symbolDisplay"": ""STP""}, {""symbolDisplay"": ""SPZ""}, {""symbolDisplay"": ""PNR""}, {""symbolDisplay"": ""PGC""}, {""symbolDisplay"": ""WR1""}, {""symbolDisplay"": ""IMB""}, {""symbolDisplay"": ""GLN""}, {""symbolDisplay"": ""FBR""}, {""symbolDisplay"": ""WOT""}, {""symbolDisplay"": ""EEG""}, {""symbolDisplay"": ""RCT""}, {""symbolDisplay"": ""OCC""}, {""symbolDisplay"": ""RHC""}, {""symbolDisplay"": ""NMT""}, {""symbolDisplay"": ""EQT""}, {""symbolDisplay"": ""ALA""}, {""symbolDisplay"": ""EGH""}, {""symbolDisplay"": ""DXB""}, {""symbolDisplay"": ""EOL""}, {""symbolDisplay"": ""SBM""}, {""symbolDisplay"": ""SFX""}, {""symbolDisplay"": ""ENR""}, {""symbolDisplay"": ""MDR""}, {""symbolDisplay"": ""BTR""}, {""symbolDisplay"": ""SIG""}, {""symbolDisplay"": ""M7T""}, {""symbolDisplay"": ""OBM""}, {""symbolDisplay"": ""SNL""}, {""symbolDisplay"": ""SKS""}, {""symbolDisplay"": ""TBR""}, {""symbolDisplay"": ""AIS""}, {""symbolDisplay"": ""IVZ""}, {""symbolDisplay"": ""SXL""}, {""symbolDisplay"": ""SYR""}, {""symbolDisplay"": ""TRS""}, {""symbolDisplay"": ""FND""}, {""symbolDisplay"": ""PLL""}, {""symbolDisplay"": ""XRF""}, {""symbolDisplay"": ""WAT""}, {""symbolDisplay"": ""RAC""}, {""symbolDisplay"": ""AVL""}, {""symbolDisplay"": ""4DS""}, {""symbolDisplay"": ""SPR""}, {""symbolDisplay"": ""SRG""}, {""symbolDisplay"": ""IMR""}, {""symbolDisplay"": ""SYA""}, {""symbolDisplay"": ""AD8""}, {""symbolDisplay"": ""CAT""}, {""symbolDisplay"": ""KLS""}, {""symbolDisplay"": ""CQE""}, {""symbolDisplay"": ""AEE""}, {""symbolDisplay"": ""AGE""}, {""symbolDisplay"": ""GDG""}, {""symbolDisplay"": ""BRL""}, {""symbolDisplay"": ""JLG""}, {""symbolDisplay"": ""COS""}, {""symbolDisplay"": ""CLG""}]","[{""symbol"": ""PME"", ""xid"": ""230995"", ""ASXSecurityType"": 1, ""displayName"": ""PRO MEDICUS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PME8"", ""xidEntity"": 204128647, ""sector"": ""Health Care"", ""industryGroup"": ""Health Care Equipment & Services"", ""industry"": ""Health Care Technology"", ""subIndustry"": ""Health Care Technology""}]","[""PME"", ""AGY"", ""360"", ""PGH"", ""SSG"", ""AMA"", ""ARU"", ""ASM"", ""3DA"", ""BCB"", ""BOC"", ""BOT"", ""CAY"", ""CAA"", ""GL1"", ""VIT"", ""BBT"", ""BRE"", ""BIS"", ""WIA"", ""BC8"", ""BWN"", ""CCL"", ""HPG"", ""CSC"", ""A1M"", ""IMD"", ""ILU"", ""NXL"", ""IMU"", ""LRV"", ""FDV"", ""BRI"", ""KMD"", ""MEK"", ""IPD"", ""CVL"", ""ASL"", ""DGL"", ""BDM"", ""CRN"", ""SX2"", ""LIN"", ""LKE"", ""VGL"", ""WC8"", ""MAY"", ""MAQ"", ""MEI"", ""TPW"", ""DLI"", ""SMI"", ""VYS"", ""MIN"", ""DGT"", ""SYL"", ""SSR"", ""TEA"", ""SHA"", ""TTT"", ""VEE"", ""CKF"", ""PRG"", ""TER"", ""CRD"", ""IR1"", ""PAR"", ""ONE"", ""TCG"", ""THL"", ""MYR"", ""MMI"", ""SPG"", ""ASN"", ""NXD"", ""CYL"", ""NHF"", ""EMV"", ""WJL"", ""STP"", ""SPZ"", ""PNR"", ""PGC"", ""WR1"", ""IMB"", ""GLN"", ""FBR"", ""WOT"", ""EEG"", ""RCT"", ""OCC"", ""RHC"", ""NMT"", ""EQT"", ""ALA"", ""EGH"", ""DXB"", ""EOL"", ""SBM"", ""SFX"", ""ENR"", ""MDR"", ""BTR"", ""SIG"", ""M7T"", ""OBM"", ""SNL"", ""SKS"", ""TBR"", ""AIS"", ""IVZ"", ""SXL"", ""SYR"", ""TRS"", ""FND"", ""PLL"", ""XRF"", ""WAT"", ""RAC"", ""AVL"", ""4DS"", ""SPR"", ""SRG"", ""IMR"", ""SYA"", ""AD8"", ""CAT"", ""KLS"", ""CQE"", ""AEE"", ""AGE"", ""GDG"", ""BRL"", ""JLG"", ""COS"", ""CLG"", """"]"
TBR,204100483,2924-02908063-6A1249314,2025-01-31T00:48:54.000Z,Notification of buy-back - TBR,12KB,true,TBR,,"[""Market Buy-Back""]","[{""symbolDisplay"": ""TBR""}]","[{""symbol"": ""TBR"", ""xid"": ""265607"", ""ASXSecurityType"": 1, ""displayName"": ""TRIBUNE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TBR5"", ""xidEntity"": 204100483, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""TBR"", """"]"
