ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
SYR,204187806,2924-03095656-3A694388,2026-05-31T23:02:21.000Z,Tesla offtake alleged default resolved,265KB,true,SYR,,"[""Progress Report""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03092894-3A693850,2026-05-22T04:59:37.000Z,Results of Annual General Meeting,282KB,false,SYR,,"[""Results of Meeting""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03092721-3A693819,2026-05-21T22:55:05.000Z,Managing Director's AGM Presentation,1873KB,false,SYR,,"[""Company Presentation"", ""Chair's Address to Shareholders""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03092717-3A693817,2026-05-21T22:50:15.000Z,Chair's AGM Address,201KB,false,SYR,,"[""Chair's Address to Shareholders""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03091952-3A693657,2026-05-20T00:15:01.000Z,Section 708A Cleansing Statement,197KB,false,SYR,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03091948-3A693656,2026-05-20T00:12:31.000Z,Notification regarding unquoted securities - SYR,15KB,false,SYR,,"[""Appendix 3G""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03091947-3A693654,2026-05-20T00:11:01.000Z,Application for quotation of securities - SYR,16KB,false,SYR,,"[""Appendix 2A""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03091942-3A693652,2026-05-20T00:08:46.000Z,Application for quotation of securities - SYR,17KB,false,SYR,,"[""Appendix 2A""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03083578-3A692151,2026-04-28T22:42:57.000Z,March 2026 Quarterly Activities Presentation,1303KB,true,SYR,,"[""Company Presentation"", ""First Quarter Activities Report""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03083560-3A692148,2026-04-28T22:34:32.000Z,March 2026 Quarterly Activities and Cashflow Report,807KB,true,SYR,,"[""First Quarter Activities Report"", ""First Quarter Cash Flow Report""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03083296-3A692117,2026-04-28T06:42:45.000Z,Change of Director's Interest Notices x2,531KB,false,SYR,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03083282-3A692114,2026-04-28T06:32:40.000Z,Change in substantial holding,278KB,false,SYR,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03082175-3A691928,2026-04-23T23:29:46.000Z,Application for quotation of securities - SYR,15KB,false,SYR,,"[""Appendix 2A""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03081249-3A691797,2026-04-21T23:42:53.000Z,Notice of Annual General Meeting/Proxy Form,1023KB,false,SYR,,"[""Notice of Annual General Meeting"", ""Proxy Form""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03081160-3A691776,2026-04-21T22:59:23.000Z,Syrah Completes Retail Entitlement Offer,201KB,true,SYR,,"[""Non-Renounceable Issue""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03078402-3A691275,2026-04-13T23:12:06.000Z,Syrah March 2026 Quarterly Results Conference Call,248KB,false,SYR,,"[""Notification of Results/Reporting Date""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03077205-3A691052,2026-04-09T06:27:39.000Z,Change in substantial holding,224KB,false,SYR,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03076667-3A690977,2026-04-08T06:53:01.000Z,Ceasing to be a substantial holder,102KB,false,SYR,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03075115-3A690703,2026-04-01T22:27:27.000Z,Application for quotation of securities - SYR,14KB,false,SYR,,"[""Appendix 2A""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03075079-3A690693,2026-04-01T22:04:57.000Z,Notification to Ineligible Retail Shareholders,204KB,false,SYR,,"[""Non-Renounceable Issue"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03075065-3A690689,2026-04-01T21:57:22.000Z,Retail Offer Booklet,3558KB,true,SYR,,"[""Non-Renounceable Issue""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03072853-3A690298,2026-03-26T22:57:08.000Z,Completion of Institutional Entitlement Offer,211KB,true,SYR,,"[""Non-Renounceable Issue"", ""Trading Halt Lifted""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03072458-3A690204,2026-03-26T01:25:14.000Z,Notice under s708AA(2)(f),339KB,false,SYR,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03072457-3A690203,2026-03-26T01:25:04.000Z,Proposed issue of securities - SYR,21KB,false,SYR,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03072456-3A690202,2026-03-26T01:24:44.000Z,Equity Raising & Strategic Funding Proposals Presentation,2827KB,true,SYR,,"[""Company Presentation""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03072455-3A690201,2026-03-26T01:24:34.000Z,Equity Raising & Strategic Funding Proposals,296KB,true,SYR,,"[""Web Cast"", ""Non-Renounceable Issue"", ""Issued Capital - Other"", ""Debt Facility""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03072454-3A690200,2026-03-26T01:24:19.000Z,Appendix 4G and Corporate Governance Statement,2170KB,false,SYR,,"[""Corporate Governance"", ""Appendix 4G""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03072453-3A690199,2026-03-26T01:23:54.000Z,2025 Sustainability Report,4444KB,false,SYR,,"[""Sustainability/Climate Action Report""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03072452-3A690198,2026-03-26T01:23:44.000Z,2025 Annual Report,15963KB,false,SYR,,"[""Annual Report"", ""Top 20 shareholders"", ""Full Year Accounts"", ""Full Year Audit Review"", ""Full Year Directors' Statement"", ""Full Year Directors' Report""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03071826-3A690093,2026-03-24T22:17:14.000Z,Trading Halt,432KB,true,SYR,,"[""Trading Halt""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03068484-3A689451,2026-03-15T21:28:33.000Z,Tesla offtake alleged default cure date extended,259KB,true,SYR,,"[""Progress Report""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03067789-3A689354,2026-03-12T21:28:42.000Z,US ITC reaches final determination on AD/CVD,284KB,true,SYR,,"[""Progress Report""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03065784-3A689002,2026-03-08T21:20:09.000Z,Director Nominations Closing Date for AGM,170KB,false,SYR,,"[""Notice of Meeting - Other"", ""Company Administration - Other""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03063312-3A688507,2026-03-01T22:00:10.000Z,Syrah signs Balama binding offtake with NextSource,255KB,true,SYR,,"[""Progress Report""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03055688-3A686955,2026-02-11T22:14:49.000Z,Graphite AAM AD/CVD rates of at least 160% finalised,222KB,true,SYR,,"[""Progress Report""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03053931-3A686645,2026-02-06T05:13:22.000Z,Notification regarding unquoted securities - SYR,16KB,false,SYR,,"[""Appendix 3G""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03052761-3A686483,2026-02-03T22:10:06.000Z,Change of Director's Interest Notice,323KB,false,SYR,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03052748-3A686476,2026-02-03T22:00:31.000Z,Notification of cessation of securities - SYR,12KB,false,SYR,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03049486-3A685958,2026-01-27T22:03:42.000Z,December 2025 Quarterly Activities Presentation,2408KB,true,SYR,,"[""Company Presentation"", ""Fourth Quarter Activities Report""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03049477-3A685954,2026-01-27T21:58:12.000Z,December 2025 Quarterly Activities and Cashflow Report,777KB,true,SYR,,"[""Fourth Quarter Activities Report"", ""Fourth Quarter Cash Flow Report""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03047010-3A685538,2026-01-18T21:46:24.000Z,Tesla offtake alleged default cure date extended,220KB,true,SYR,,"[""Progress Report""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03045677-3A685290,2026-01-13T05:35:19.000Z,Notification of cessation of securities - SYR,12KB,false,SYR,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03044597-3A685098,2026-01-08T05:30:43.000Z,Final Director's Interest Notice,310KB,false,SYR,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03044593-3A685096,2026-01-08T05:23:53.000Z,Change of Director's Interest Notices x6,1636KB,false,SYR,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03043902-3A684985,2026-01-06T21:33:12.000Z,Syrah December 2025 Quarterly Results Conference Call,210KB,false,SYR,,"[""Notification of Results/Reporting Date"", ""Web Cast""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03042591-3A684803,2025-12-31T00:41:29.000Z,Notification regarding unquoted securities - SYR,20KB,false,SYR,,"[""Appendix 3G""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03035841-3A683618,2025-12-10T06:12:28.000Z,Initial Director's Interest Notice,273KB,false,SYR,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03033672-3A683281,2025-12-04T22:06:39.000Z,Appointment of Non-Executive Director and Chair-Elect,242KB,false,SYR,,"[""Chair Appointment/Resignation"", ""Director Appointment/Resignation""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03023835-3A681518,2025-11-16T23:32:20.000Z,Proposed issue of securities - SYR,16KB,false,SYR,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03023689-3A681488,2025-11-16T22:12:59.000Z,US$8.5m DFC loan disbursement and interest deferral,263KB,true,SYR,,"[""Issued Capital - Other"", ""Debt Facility""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03023668-3A681483,2025-11-16T22:02:54.000Z,Tesla offtake alleged default cure date extended,220KB,true,SYR,,"[""Progress Report""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
SYR,204187806,2924-03023429-3A681434,2025-11-14T06:03:18.000Z,Change in substantial holding,246KB,false,SYR,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""SYR""}]","[{""symbol"": ""SYR"", ""xid"": ""8242255"", ""ASXSecurityType"": 1, ""displayName"": ""SYRAH RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SYR9"", ""xidEntity"": 204187806}]","[""SYR"", """"]"
