ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
KNO,235714442,2924-03094081-3A694100,2026-05-26T23:09:08.000Z,ANZ signs 2-year contract extension for $3.8m,486KB,true,KNO,,"[""Progress Report""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-03083924-3A692214,2026-04-29T04:53:49.000Z,Quarterly Activities/Appendix 4C Cash Flow Report,440KB,true,KNO,,"[""Commitments Test Entity - Third Quarter Activity Report"", ""Commitments Test Entity - Third Quarter Cashflow Report""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-03072389-3A690187,2026-03-25T22:47:13.000Z,Change of Director's Interest Notice,179KB,false,KNO,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-03060324-3A687850,2026-02-24T03:09:12.000Z,Change of Director's Interest Notice,179KB,false,KNO,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-03057910-3A687362,2026-02-18T02:32:15.000Z,Half Yearly Report and Accounts,742KB,true,KNO,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-03050203-3A686082,2026-01-28T22:58:41.000Z,Quarterly Activities/Appendix 4C Cash Flow Report,387KB,true,KNO,,"[""Commitments Test Entity - Second Quarter Activity Report"", ""Commitments Test Entity - Second Quarter Cashflow Report""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-03046995-3A685537,2026-01-18T21:37:34.000Z,Greenorbit signs customer migration agency agreement,194KB,true,KNO,,"[""Progress Report""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-03040451-3A684438,2025-12-22T00:50:49.000Z,Change of Director's Interest Notice,180KB,false,KNO,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-03040448-3A684436,2025-12-22T00:49:29.000Z,Change of Director's Interest Notice,178KB,false,KNO,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-03040419-3A684417,2025-12-22T00:07:19.000Z,Notification regarding unquoted securities - KNO,17KB,false,KNO,,"[""Appendix 3G""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-03028447-3A682385,2025-11-25T23:41:11.000Z,Results of Meeting,95KB,false,KNO,,"[""Results of Meeting""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-03028404-3A682374,2025-11-25T22:46:31.000Z,AGM Managing Director's presentation,734KB,false,KNO,,"[""Company Presentation"", ""Chair's Address to Shareholders""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-03016884-3A680275,2025-10-30T21:18:47.000Z,Quarterly Activities/Appendix 4C Cash Flow Report,297KB,true,KNO,,"[""Commitments Test Entity - First Quarter Activity Report"", ""Commitments Test Entity - First Quarter Cashflow Report""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-03014998-3A679956,2025-10-28T05:54:47.000Z,Initial Director's Interest Notice,148KB,false,KNO,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-03012846-3A679615,2025-10-23T21:31:47.000Z,AGM Letter to Shareholders / Proxy Form,187KB,false,KNO,,"[""Proxy Form"", ""Notice of Meeting - Other"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-03012845-3A679614,2025-10-23T21:31:42.000Z,Notice of Annual General Meeting 2025,369KB,false,KNO,,"[""Notice of Annual General Meeting""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-03008383-3A678837,2025-10-15T01:20:14.000Z,Final Director's Interest Notice - Amended resignation date,172KB,false,KNO,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-03008381-3A678836,2025-10-15T01:15:59.000Z,Final Director's Interest Notice,152KB,false,KNO,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-03008380-3A678835,2025-10-15T01:14:24.000Z,Final Director's Interest Notice,174KB,false,KNO,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-03007967-3A678756,2025-10-14T07:17:54.000Z,Resignation of Director - Kathrin Mutinelli,93KB,false,KNO,,"[""Director Appointment/Resignation""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-03007766-3A678713,2025-10-14T02:24:33.000Z,Change of Directors,109KB,false,KNO,,"[""Chair Appointment/Resignation"", ""Director Appointment/Resignation""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-02992273-3A676135,2025-09-11T02:43:12.000Z,Date of 2025 AGM,226KB,false,KNO,,"[""Notice of Meeting - Other"", ""Company Administration - Other""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-02985180-3A674806,2025-08-27T22:49:23.000Z,FY25 Annual Results release,221KB,true,KNO,,"[""Preliminary Final Report""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-02985175-3A674802,2025-08-27T22:48:48.000Z,Full Year Statutory Accounts,10230KB,false,KNO,,"[""Annual Report"", ""Top 20 shareholders"", ""Full Year Accounts"", ""Full Year Audit Review"", ""Full Year Directors' Statement"", ""Full Year Directors' Report""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-02985171-3A674801,2025-08-27T22:47:08.000Z,Preliminary Final Report,90KB,true,KNO,,"[""Preliminary Final Report""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-02985169-3A674798,2025-08-27T22:47:03.000Z,Appendix 4G and Corporate Governance Statement,452KB,false,KNO,,"[""Corporate Governance"", ""Appendix 4G""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-02973014-3A672568,2025-07-30T22:20:58.000Z,Quarterly Activities/Appendix 4C Cash Flow Report,362KB,true,KNO,,"[""Commitments Test Entity - Fourth Quarter Activity Report"", ""Commitments Test Entity - Fourth Quarter Cashflow Report""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-02962940-3A670974,2025-07-01T07:17:43.000Z,Change of Director's Interest Notice,179KB,false,KNO,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-02962937-3A670972,2025-07-01T07:15:58.000Z,Change of Director's Interest Notice,180KB,false,KNO,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-02958289-3A670221,2025-06-19T00:29:25.000Z,"ANZ Bank signs 1-year extension, pending new 3-year contract",107KB,true,KNO,,"[""Progress Report""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-02954057-3A669471,2025-06-05T01:27:18.000Z,Notification regarding unquoted securities - KNO,17KB,false,KNO,,"[""Appendix 3G""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-02951536-3A669034,2025-05-28T23:51:35.000Z,Presentation - Growth Strategy Update Webinar,2561KB,true,KNO,,"[""Company Presentation""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-02947104-3A668199,2025-05-15T05:17:26.000Z,Forthcoming Webinar - Growth Strategy Update - 29 May 2025,129KB,false,KNO,,"[""Web Cast""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-02940169-3A666916,2025-04-28T22:22:31.000Z,Quarterly Activities/Appendix 4C Cash Flow Report,550KB,true,KNO,,"[""Commitments Test Entity - Third Quarter Activity Report"", ""Commitments Test Entity - Third Quarter Cashflow Report""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-02918365-3A662773,2025-02-26T21:30:45.000Z,Half Year results release,240KB,true,KNO,,"[""Half Yearly Report""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-02918358-3A662770,2025-02-26T21:28:25.000Z,Half Yearly Report and Accounts,737KB,true,KNO,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-02907233-3A660555,2025-01-29T22:39:27.000Z,Quarterly Activities/Appendix 4C Cash Flow Report,385KB,true,KNO,,"[""Commitments Test Entity - Second Quarter Activity Report"", ""Commitments Test Entity - Second Quarter Cashflow Report""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-02895547-3A658323,2024-12-16T22:03:10.000Z,Investor Newsletter - December 2024,353KB,false,KNO,,"[""Letter to Shareholders""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-02893766-3A658033,2024-12-11T22:34:36.000Z,Optus signs contract extension,75KB,true,KNO,,"[""Progress Report""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-02887274-3A656902,2024-11-28T00:03:43.000Z,Results of Meeting,93KB,false,KNO,,"[""Results of Meeting""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-02887172-3A656878,2024-11-27T22:42:43.000Z,AGM - MD Presentation,863KB,true,KNO,,"[""Company Presentation""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-02883648-3A656203,2024-11-20T22:51:48.000Z,Knosys signs 2-year contract extension with Healthdirect,73KB,true,KNO,,"[""Progress Report""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-02874550-3A654505,2024-10-30T21:08:14.000Z,Quarterly Activities/Appendix 4C Cash Flow Report,393KB,true,KNO,,"[""Commitments Test Entity - First Quarter Activity Report"", ""Commitments Test Entity - First Quarter Cashflow Report""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-02866415-3A653001,2024-10-14T21:19:05.000Z,AGM Letter to Shareholders,111KB,false,KNO,,"[""Notice of Annual General Meeting"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-02866414-3A653000,2024-10-14T21:19:00.000Z,Notice of Annual General Meeting/Proxy Form,359KB,false,KNO,,"[""Notice of Annual General Meeting"", ""Proxy Form""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-02854399-3A650929,2024-09-18T22:26:15.000Z,Singtel contract extension,123KB,true,KNO,,"[""Progress Report""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-02850821-3A650304,2024-09-09T23:25:31.000Z,Date of 2024 AGM,114KB,false,KNO,,"[""Notice of Meeting - Other""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-02847903-3A649770,2024-09-02T22:25:16.000Z,Knosys wins new Knowledge IQ 5-year contract with OPP WA,125KB,true,KNO,,"[""Progress Report""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-02846184-3A649419,2024-08-29T22:29:21.000Z,Knosys Financial Results release June 2024,488KB,true,KNO,,"[""Preliminary Final Report"", ""Periodic Reports - Other""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-02846180-3A649417,2024-08-29T22:28:26.000Z,Appendix 4G,496KB,false,KNO,,"[""Corporate Governance"", ""Appendix 4G""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
KNO,235714442,2924-02846178-3A649413,2024-08-29T22:28:01.000Z,Annual Report to shareholders,1723KB,false,KNO,,"[""Annual Report"", ""Top 20 shareholders"", ""Full Year Accounts"", ""Full Year Audit Review"", ""Full Year Directors' Statement"", ""Full Year Directors' Report""]","[{""symbolDisplay"": ""KNO""}]","[{""symbol"": ""KNO"", ""xid"": ""298963109"", ""ASXSecurityType"": 1, ""displayName"": ""KNOSYS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KNO6"", ""xidEntity"": 235714442}]","[""KNO"", """"]"
